time,session 
0,2024.804272569263 
10,2903.5957905368396 
20,5073.521724831627 
30,4734.988071035697 
40,4740.440020463056 
50,5249.7525540697 
60,5416.949919229008 
70,5758.364561473016 
80,6632.093232111526 
90,6367.874837823134 
100,5445.629538206919 
110,5685.496966652848 
120,5649.401882868064 
130,5327.44868633798 
140,6269.037405423146 
150,7322.004193913541 
160,5176.02675511 
170,5585.808447818661 
180,5132.034985586761 
190,5619.215084746889 
200,4980.848735468981 
210,3338.997697171469 
220,0.0 
230,2382.1747655058366 
240,4027.045987022647 
250,5296.369132034057 
260,5333.955589612927 
270,6758.454654891046 
280,5973.558592065 
290,6060.600842688957 
300,5926.677561004499 
310,6929.731094114221 
320,6159.478515349253 
330,6331.1753032703355 
340,5968.363118480188 
350,5778.966123370638 
360,5491.8358844270215 
370,5930.994000295594 
380,6274.178531254868 
390,5999.985519805136 
400,6912.220425535908 
410,5716.391081307694 
420,5948.574065632545 
430,5564.674593146426 
440,5897.1580821284215 
450,0.0 
460,2760.6428012435217 
470,2869.4029628283793 
480,4748.950903005072 
490,5901.936567544887 
500,6720.1332667243705 
510,6844.558328986883 
520,6660.490172713225 
530,7386.358526877547 
540,6629.398526614436 
550,6743.745600126478 
560,6856.392895427881 
570,6748.9240206985005 
580,6685.427385868428 
590,7080.203665033453 
600,7071.094288760301 
610,6833.869985476679 
620,7053.043097641153 
630,6325.0846715562675 
640,6526.329197835988 
650,5844.555651967215 
660,6438.970314395528 
670,6182.797330480547 
680,5460.363714248937 
