time,size_sent,size_rcv 
0,170.33359375,1196.80078125 
10,523.746875,2995.57421875 
20,904.609375,4852.971875 
30,1293.0171875,6836.48046875 
40,1701.33125,8828.71796875 
50,2116.71953125,10813.39921875 
60,2491.48984375,12622.171875 
70,2871.49765625,14497.13046875 
80,3247.28125,16334.97421875 
90,3622.23125,18202.68984375 
100,4027.2453125,20148.528125 
110,4441.5875,22216.65390625 
120,4883.43046875,24291.546875 
130,5248.66953125,26002.52421875 
140,5615.42109375,27908.74765625 
150,6019.72734375,29760.72109375 
160,6385.015625,31609.91171875 
170,6791.121875,33541.02265625 
180,7170.3953125,35466.38203125 
190,7565.03515625,37370.9578125 
200,7822.46484375,38237.9953125 
210,7864.7109375,38311.925 
220,7953.86875,39077.06796875 
230,8556.825,42670.06953125 
240,9314.22421875,46410.1796875 
250,10017.5765625,49858.39609375 
260,10847.75,53993.2953125 
270,11677.0734375,58002.39296875 
280,12538.15546875,62251.553125 
290,13463.13515625,66829.925 
300,14317.4203125,70936.55078125 
310,15161.91640625,75105.89296875 
320,16026.98828125,79181.55234375 
330,16800.38203125,82863.953125 
340,17575.90546875,86765.82890625 
350,18431.9234375,90994.91484375 
360,19266.69609375,95088.03359375 
370,20138.70078125,99461.59453125 
380,21019.71484375,103722.94453125 
390,21913.159375,107973.0171875 
400,22733.059375,112043.9328125 
410,23582.36484375,116191.1671875 
420,24296.57265625,119040.2421875 
430,24488.63828125,119443.8421875 
440,24506.54921875,119472.63046875 
450,24657.5390625,120752.23515625 
460,25376.25234375,125267.5109375 
470,26388.97890625,129749.98046875 
480,27791.14140625,134227.9296875 
490,29279.5625,139101.4609375 
500,30546.06875,143523.26953125 
510,31987.87578125,148267.2921875 
520,33484.59140625,152694.9515625 
530,35012.8859375,157226.3140625 
540,36550.71953125,161605.86953125 
550,38126.04375,166059.846875 
560,39709.0078125,170794.70703125 
570,41215.271875,175422.67265625 
580,42732.2421875,180128.79296875 
590,44155.809375,184710.5921875 
600,45724.7171875,189299.48046875 
610,47230.1265625,193962.43671875 
620,48707.40625,198487.83125 
630,50217.7109375,203203.3796875 
640,51694.75390625,207307.1921875 
650,53120.04375,211713.6046875 
660,54195.115625,214968.2984375 
670,54408.00546875,215341.3171875 
680,54431.8109375,215379.16328125 
