time,tr_book_rate_service,page 
0,8365.395,524.016 
10,14438.468,544.967 
20,21546.033,544.967 
30,29665.572,554.561 
40,29665.572,554.561 
50,29665.572,768.59 
60,29665.572,768.59 
70,34998.847,768.59 
80,42931.222,768.59 
90,42931.222,768.59 
100,42931.222,768.59 
110,42931.222,860.081 
120,44507.088,860.081 
130,44507.088,860.081 
140,44507.088,860.081 
150,54762.828,860.081 
160,54762.828,860.081 
170,54762.828,860.081 
180,54762.828,860.081 
190,54762.828,860.081 
200,54762.828,860.081 
210,54762.828,860.081 
220,54762.828,860.081 
230,54762.828,1415.771 
240,54762.828,1415.771 
250,54762.828,1415.771 
260,54762.828,1598.481 
270,54762.828,1598.481 
280,54762.828,2050.915 
290,54762.828,2809.686 
300,54762.828,2809.686 
310,54762.828,2809.686 
320,54762.828,2809.686 
330,54762.828,2809.686 
340,54762.828,2809.686 
350,54762.828,2809.686 
360,54762.828,3923.653 
370,54762.828,3923.653 
380,54762.828,3923.653 
390,54762.828,3923.653 
400,54762.828,3923.653 
410,54762.828,3923.653 
420,54762.828,3923.653 
430,54762.828,3923.653 
440,54762.828,3923.653 
450,54762.828,3923.653 
460,54762.828,4108.756 
470,54762.828,5810.024 
480,54762.828,6980.452 
490,54762.828,6980.452 
500,54762.828,6980.452 
510,54969.074,6980.452 
520,54969.074,6980.452 
530,54969.074,6980.452 
540,54969.074,6980.452 
550,54969.074,6980.452 
560,54969.074,6980.452 
570,54969.074,6980.452 
580,54969.074,6980.452 
590,60805.385,6980.452 
600,60805.385,6980.452 
610,60805.385,6980.452 
620,60805.385,6980.452 
630,60805.385,6980.452 
640,60805.385,6980.452 
650,60805.385,6980.452 
660,60805.385,6980.452 
670,60805.385,6980.452 
680,60805.385,6980.452 
