time,users,connected 
0,81,77 
10,95,15 
20,95,0 
30,111,17 
40,115,3 
50,117,-8 
60,121,-4 
70,121,8 
80,121,-2 
90,123,9 
100,123,-6 
110,126,10 
120,126,-16 
130,126,-11 
140,126,23 
150,126,-24 
160,126,14 
170,126,-7 
180,126,13 
190,126,-1 
200,126,-82 
210,126,-27 
220,126,81 
230,209,126 
240,228,5 
250,238,21 
260,251,0 
270,252,5 
280,277,36 
290,285,-5 
300,285,-26 
310,285,15 
320,285,-33 
330,285,-12 
340,285,22 
350,285,13 
360,285,23 
370,285,-1 
380,286,-2 
390,286,-25 
400,286,7 
410,286,24 
420,286,-152 
430,286,-110 
440,286,-12 
450,286,143 
460,488,338 
470,738,254 
480,827,86 
490,827,-48 
500,827,15 
510,827,25 
520,841,11 
530,844,3 
540,865,30 
550,866,-16 
560,866,-22 
570,866,0 
580,866,-33 
590,866,47 
600,866,-25 
610,866,-15 
620,866,3 
630,866,33 
640,866,-15 
650,866,-130 
660,866,-532 
670,866,-136 
680,866,-15 
