time,users_count,finish_users_count 
0,9.1,1.1 
10,9,7.8 
20,9.4,9.3 
30,10.1,8.4 
40,9.2,9.2 
50,10.5,10.4 
60,8.2,9.2 
70,9.7,9 
80,8.8,8.9 
90,9.8,8.8 
100,9,10.1 
110,10.6,9.3 
120,10,11.5 
130,7.7,8.9 
140,10.3,7.8 
150,8.5,11.2 
160,9.8,8 
170,9.5,10 
180,9,8.2 
190,9.9,10.1 
200,1,9.1 
210,0,2.7 
220,8.2,0.1 
230,20.3,7.8 
240,18.2,17.6 
250,19.2,16.7 
260,18.9,19.2 
270,21,19.9 
280,21.8,19 
290,22.5,22.5 
300,18.7,21.5 
310,21.2,20 
320,18.6,22.1 
330,18,19.2 
340,20,18.1 
350,21.4,19.5 
360,20.9,19.5 
370,21.5,20.6 
380,20.6,21.5 
390,19.8,22.1 
400,20.4,19.4 
410,22.1,19.9 
420,6.7,21.9 
430,0,10.8 
440,0,1.1 
450,14.6,0.1 
460,37.7,3.5 
470,37.9,13.1 
480,36.6,27.8 
490,36.8,41.8 
500,36.9,35.4 
510,38.1,36.2 
520,40.1,39.2 
530,41.6,40.2 
540,43.9,40.8 
550,38.4,40.5 
560,42.6,44.2 
570,38,39.4 
580,38.2,40.4 
590,41.4,36.8 
600,38.1,41.1 
610,39.5,40.2 
620,38.6,39.3 
630,42.6,39 
640,37.5,38.5 
650,23.8,37.4 
660,0,53.4 
670,0,13.1 
680,0,1.5 
