time,size_sent,size_rcv 
0,167.753125,1447.5046875 
10,332.91015625,2362.69296875 
20,423.59765625,2771.359375 
30,397.1484375,2610.5203125 
40,397.2625,2633.64921875 
50,422.89921875,2843.846875 
60,435.015625,2819.090625 
70,417.3140625,2678.5828125 
80,342.90859375,2276.61015625 
90,440.0453125,2950.6453125 
100,375.07265625,2501.82421875 
110,441.1046875,2890.084375 
120,437.61328125,2813.70859375 
130,414.2515625,2810.88671875 
140,416.9203125,2670.1109375 
150,386.365625,2539.553125 
160,357.1890625,2355.9234375 
170,379.4609375,2479.8609375 
180,401.84375,2659.12421875 
190,420.6203125,2812.27890625 
200,227.6,1142.8921875 
210,45.0453125,164.21875 
220,8.8734375,30.096875 
230,82.8265625,859.04375 
240,522.9171875,3949.42578125 
250,734.840625,4962.33984375 
260,786.91171875,5099.85078125 
270,768.88515625,5206.2109375 
280,847.63046875,5677.2078125 
290,853.1890625,5549.88125 
300,805.165625,5181.215625 
310,748.3328125,4974.17421875 
320,845.9140625,5643.859375 
330,771.6859375,4991.2296875 
340,748.81640625,4963.54765625 
350,804.82734375,5261.48828125 
360,820.2265625,5410.90390625 
370,839.378125,5624.78203125 
380,820.6015625,5449.84921875 
390,855.56015625,5545.596875 
400,831.1,5424.4921875 
410,736.56875,4788.8203125 
420,764.0140625,5045.0125 
430,737.43671875,4694.7703125 
440,280.19921875,1144.90390625 
450,36.278125,126.8 
460,163.39296875,1771.29453125 
470,1175.20703125,8876.884375 
480,1644.6421875,11154.61640625 
490,1685.25546875,11037.04609375 
500,1697.2859375,11141.75703125 
510,1654.196875,10639.5390625 
520,1535.70859375,10116.60625 
530,1621.35703125,10646.5203125 
540,1629.35703125,10730.5375 
550,1684.38671875,10986.23203125 
560,1573.93046875,10157.7921875 
570,1555.55546875,10441.221875 
580,1615.34453125,10539.659375 
590,1587.97109375,10556.7375 
600,1637.83671875,10595.25859375 
610,1510.4703125,9832.1140625 
620,1638.83203125,10865.59921875 
630,1687.675,11228.65625 
640,1787.27734375,11639.975 
650,1639.7265625,10774.33125 
660,1476.10859375,9005.88046875 
670,482.13515625,1972.87734375 
680,76.3890625,266.97109375 
690,20.6953125,69.2421875 
700,1306.2953125,11421.85 
710,2929.1640625,20419.259375 
720,3201.11953125,20856.615625 
730,3208.178125,21114.9703125 
740,3074.73828125,19983.734375 
750,3167.9625,21012.64453125 
760,3257.56015625,21092.4703125 
770,3336.61875,22234.75234375 
780,3411.13984375,22197.17734375 
790,3344.5125,21783.95625 
800,3300.7515625,21587.346875 
810,3116.45546875,20465.16484375 
820,3259.23671875,21238.3140625 
830,3140.21484375,20509.49765625 
840,3316.53828125,22030.04296875 
850,3409.9515625,22137.875 
860,3244.9734375,21197.3453125 
870,3183.61640625,21023.81328125 
880,3344.05625,21796.25546875 
890,3283.21328125,21460.44296875 
900,2008.38984375,10351.10625 
910,406.9515625,1456.74140625 
920,54.215625,183.58359375 
930,613.89296875,6483.48671875 
940,4482.7484375,33779.259375 
950,5980.2171875,39942.55625 
960,6341.92578125,42037.4140625 
970,6800.08046875,44082.928125 
980,6615.7140625,43528.534375 
990,6369.65078125,41422.23359375 
1000,6584.9421875,43034.53046875 
1010,6763.9828125,44267.01953125 
1020,6820.3125,44709.409375 
1030,6906.515625,45000.8484375 
1040,6843.7640625,44625.596875 
