time,users,connected 
0,79,78 
10,114,34 
20,121,-4 
30,121,-3 
40,121,4 
50,123,10 
60,130,-11 
70,130,-13 
80,130,9 
90,130,12 
100,130,3 
110,130,-1 
120,130,-14 
130,130,18 
140,130,-19 
150,130,2 
160,130,1 
170,130,-6 
180,130,5 
190,130,9 
200,130,-79 
210,130,-28 
220,130,-6 
230,130,67 
240,178,108 
250,210,31 
260,213,-17 
270,225,34 
280,249,17 
290,249,-15 
300,249,-19 
310,249,12 
320,249,12 
330,249,-20 
340,249,10 
350,249,-8 
360,249,3 
370,249,19 
380,255,11 
390,255,-23 
400,255,-7 
410,255,-15 
420,255,9 
430,255,-37 
440,255,-146 
450,255,-23 
460,255,148 
470,404,250 
480,487,82 
490,504,4 
500,504,-6 
510,504,-52 
520,504,9 
530,504,2 
540,504,14 
550,504,-14 
560,504,-40 
570,504,44 
580,504,-17 
590,504,37 
600,504,-29 
610,504,-11 
620,504,21 
630,504,31 
640,504,-13 
650,504,-3 
660,504,-145 
670,504,-253 
680,504,-49 
690,504,-14 
700,629,621 
710,889,264 
720,927,-28 
730,927,29 
740,927,-27 
750,927,62 
760,928,-56 
770,949,76 
780,950,-22 
790,950,-22 
800,950,-7 
810,950,3 
820,950,-9 
830,950,-7 
840,954,70 
850,979,-52 
860,979,-18 
870,979,41 
880,979,-21 
890,979,9 
900,979,-611 
910,979,-254 
920,979,-37 
930,979,554 
940,1500,936 
950,1690,194 
960,1844,151 
970,1868,-74 
980,1882,72 
990,1882,-10 
1000,1882,4 
1010,1882,21 
1020,1904,43 
1030,1972,-1 
1040,1972,-6 
