time,users,connected 
0,77,78 
10,114,112 
20,103,108 
30,105,105 
40,106,109 
50,122,119 
60,105,108 
70,95,95 
80,105,104 
90,116,116 
100,117,119 
110,118,118 
120,103,104 
130,121,122 
140,104,103 
150,103,105 
160,106,106 
170,100,100 
180,102,105 
190,112,114 
200,34,35 
210,7,7 
220,1,1 
230,70,68 
240,175,176 
250,209,207 
260,195,190 
270,221,224 
280,239,241 
290,223,226 
300,212,207 
310,219,219 
320,227,231 
330,207,211 
340,224,221 
350,216,213 
360,219,216 
370,238,235 
380,246,246 
390,224,223 
400,216,216 
410,202,201 
420,213,210 
430,172,173 
440,27,27 
450,4,4 
460,151,152 
470,403,402 
480,485,484 
490,491,488 
500,478,482 
510,429,430 
520,442,439 
530,442,441 
540,457,455 
550,433,441 
560,398,401 
570,435,445 
580,429,428 
590,462,465 
600,433,436 
610,425,425 
620,450,446 
630,478,477 
640,459,464 
650,461,461 
660,308,316 
670,62,63 
680,14,14 
690,0,0 
700,629,621 
710,882,885 
720,856,857 
730,885,886 
740,852,859 
750,919,921 
760,855,865 
770,929,941 
780,925,919 
790,895,897 
800,895,890 
810,882,893 
820,883,884 
830,884,877 
840,952,947 
850,899,895 
860,859,877 
870,921,918 
880,903,897 
890,899,906 
900,283,295 
910,39,41 
920,4,4 
930,570,558 
940,1495,1494 
950,1686,1688 
960,1841,1839 
970,1767,1765 
980,1843,1837 
990,1832,1827 
1000,1849,1831 
1010,1851,1852 
1020,1888,1895 
1030,1902,1894 
1040,1896,1888 
