time,users_count,finish_users_count 
0,9.6,1.9 
10,9.5,5.8 
20,8.7,9.8 
30,10.1,9.9 
40,9.9,9.8 
50,10.9,9.3 
60,9.1,10.8 
70,10,11 
80,9,8 
90,11,9.9 
100,8.8,8.7 
110,11.3,11.2 
120,9.4,10.9 
130,10.5,8.7 
140,9.5,11.2 
150,9.3,9.4 
160,8.7,8.4 
170,8.6,9.2 
180,9.9,9.7 
190,10.8,9.8 
200,0.6,8.4 
210,0,2.7 
220,0,0.6 
230,7.2,0.3 
240,17.7,7.2 
250,20,16.6 
260,17.6,19 
270,20.7,18.1 
280,20.8,19 
290,19.4,21 
300,18.7,19.8 
310,18.7,18 
320,21,20.2 
330,17.5,19.5 
340,19.4,17.7 
350,18.4,19.2 
360,19.9,19.6 
370,21.3,19.4 
380,20.2,19.4 
390,19.2,21.4 
400,19.4,20.2 
410,17.1,18.5 
420,19.1,18 
430,13.9,18 
440,0,14.5 
450,0,2.3 
460,15.3,0.6 
470,39.8,14.6 
480,43.4,35.2 
490,42.4,41.8 
500,40.2,41.5 
510,37.1,42 
520,37.3,36 
530,38.8,38.8 
540,40.4,38.9 
550,40,42.4 
560,35,38.5 
570,40.6,36.9 
580,37.7,38.3 
590,41.4,38.1 
600,36.2,39.1 
610,36.6,37.4 
620,41.1,38.6 
630,41.6,38.8 
640,42.4,44.3 
650,40.1,39.9 
660,23.4,38.7 
670,0,24.6 
680,0,4.8 
690,0,1.4 
700,70.2,7.3 
710,81,55.7 
720,74.4,77 
730,79,76.1 
740,75.4,78.7 
750,81.8,75.1 
760,73.7,80.1 
770,86,78.6 
780,81.3,81.7 
790,77.1,80.1 
800,79.7,79.7 
810,75.5,76.8 
820,77.6,77.5 
830,76.5,76.4 
840,84.8,78 
850,78.1,83.4 
860,75.9,79.9 
870,81,74.8 
880,77.3,79.1 
890,79.2,79.6 
900,10.3,71.9 
910,0,24.4 
920,0,3.5 
930,57.4,0.8 
940,151.3,58.8 
950,151.6,132.5 
960,161.5,146 
970,158.2,165.6 
980,163.1,155.5 
990,160.6,161.7 
1000,160.1,158.4 
1010,165.4,165.2 
1020,164.6,160.9 
1030,167.7,166.3 
1040,163.8,164.4 
