time,users_count,finish_users_count 
0,96,19 
10,191,77 
20,278,175 
30,379,274 
40,478,372 
50,587,465 
60,678,573 
70,778,683 
80,868,763 
90,978,862 
100,1066,949 
110,1179,1061 
120,1273,1170 
130,1378,1257 
140,1473,1369 
150,1566,1463 
160,1653,1547 
170,1739,1639 
180,1838,1736 
190,1946,1834 
200,1952,1918 
210,1952,1945 
220,1952,1951 
230,2024,1954 
240,2201,2026 
250,2401,2192 
260,2577,2382 
270,2784,2563 
280,2992,2753 
290,3186,2963 
300,3373,3161 
310,3560,3341 
320,3770,3543 
330,3945,3738 
340,4139,3915 
350,4323,4107 
360,4522,4303 
370,4735,4497 
380,4937,4691 
390,5129,4905 
400,5323,5107 
410,5494,5292 
420,5685,5472 
430,5824,5652 
440,5824,5797 
450,5824,5820 
460,5977,5826 
470,6375,5972 
480,6809,6324 
490,7233,6742 
500,7635,7157 
510,8006,7577 
520,8379,7937 
530,8767,8325 
540,9171,8714 
550,9571,9138 
560,9921,9523 
570,10327,9892 
580,10704,10275 
590,11118,10656 
600,11480,11047 
610,11846,11421 
620,12257,11807 
630,12673,12195 
640,13097,12638 
650,13498,13037 
660,13732,13424 
670,13732,13670 
680,13732,13718 
690,13732,13732 
700,14434,13805 
710,15244,14362 
720,15988,15132 
730,16778,15893 
740,17532,16680 
750,18350,17431 
760,19087,18232 
770,19947,19018 
780,20760,19835 
790,21531,20636 
800,22328,21433 
810,23083,22201 
820,23859,22976 
830,24624,23740 
840,25472,24520 
850,26253,25354 
860,27012,26153 
870,27822,26901 
880,28595,27692 
890,29387,28488 
900,29490,29207 
910,29490,29451 
920,29490,29486 
930,30064,29494 
940,31577,30082 
950,33093,31407 
960,34708,32867 
970,36290,34523 
980,37921,36078 
990,39527,37695 
1000,41128,39279 
1010,42782,40931 
1020,44428,42540 
1030,46105,44203 
1040,47743,45847 
