time,connect,request 
0,0.541,2.353 
10,0.541,2.353 
20,0.541,2.319 
30,0.541,2.319 
40,0.513,2.316 
50,0.513,2.115 
60,0.513,2.115 
70,0.513,2.115 
80,0.513,2.115 
90,0.513,2.115 
100,0.513,2.115 
110,0.513,2.115 
120,0.513,2.115 
130,0.513,2.115 
140,0.513,2.115 
150,0.513,2.115 
160,0.513,2.115 
170,0.513,2.115 
180,0.513,2.115 
190,0.513,2.115 
200,0.513,2.115 
210,0.513,2.115 
220,0.513,2.115 
230,0.506,2.115 
240,0.506,2.115 
250,0.501,2.115 
260,0.501,2.115 
270,0.501,2.115 
280,0.501,2.115 
290,0.501,2.115 
300,0.501,1.982 
310,0.49,1.982 
320,0.49,1.982 
330,0.49,1.982 
340,0.49,1.982 
350,0.49,1.982 
360,0.49,1.982 
370,0.49,1.982 
380,0.49,1.982 
390,0.49,1.982 
400,0.49,1.982 
410,0.49,1.982 
420,0.49,1.982 
430,0.49,1.982 
440,0.49,1.982 
450,0.49,1.982 
460,0.49,1.982 
470,0.49,0.283 
480,0.49,0.281 
490,0.49,0.281 
500,0.449,0.279 
510,0.449,0.279 
520,0.449,0.279 
530,0.449,0.279 
540,0.449,0.279 
550,0.449,0.275 
560,0.449,0.275 
570,0.449,0.275 
580,0.449,0.275 
590,0.449,0.275 
600,0.449,0.275 
610,0.449,0.275 
620,0.449,0.275 
630,0.449,0.275 
640,0.449,0.275 
650,0.449,0.275 
660,0.449,0.275 
670,0.449,0.275 
680,0.449,0.275 
