time,session 
0,8367.156 
10,14440.433 
20,21548.008 
30,29667.631 
40,29667.631 
50,29667.631 
60,29667.631 
70,35000.835 
80,42933.199 
90,42933.199 
100,42933.199 
110,42933.199 
120,44509.065 
130,44509.065 
140,44509.065 
150,54764.807 
160,54764.807 
170,54764.807 
180,54764.807 
190,54764.807 
200,54764.807 
210,54764.807 
220,54764.807 
230,54764.807 
240,54764.807 
250,54764.807 
260,54764.807 
270,54764.807 
280,54764.807 
290,54764.807 
300,54764.807 
310,54764.807 
320,54764.807 
330,54764.807 
340,54764.807 
350,54764.807 
360,54764.807 
370,54764.807 
380,54764.807 
390,54764.807 
400,54764.807 
410,54764.807 
420,54764.807 
430,54764.807 
440,54764.807 
450,54764.807 
460,54764.807 
470,54764.807 
480,54764.807 
490,54764.807 
500,54764.807 
510,54971.016 
520,54971.016 
530,54971.016 
540,54971.016 
550,54971.016 
560,54971.016 
570,54971.016 
580,54971.016 
590,60807.55 
600,60807.55 
610,60807.55 
620,60807.55 
630,60807.55 
640,60807.55 
650,60807.55 
660,60807.55 
670,60807.55 
680,60807.55 
