time,tr_book_rate_service,page 
0,2272.088,6.274 
10,1398.056,6.243 
20,1398.056,6.243 
30,1398.056,6.243 
40,1398.056,6.148 
50,1398.056,6.041 
60,1398.056,6.041 
70,1398.056,6.041 
80,1398.056,5.912 
90,1398.056,5.912 
100,1398.056,5.912 
110,1398.056,5.912 
120,1398.056,5.912 
130,1398.056,5.812 
140,1398.056,5.812 
150,1398.056,5.812 
160,1398.056,5.812 
170,1398.056,5.812 
180,1398.056,5.638 
190,1065.023,5.638 
200,1065.023,5.638 
210,1065.023,5.638 
220,1065.023,5.638 
230,1065.023,5.638 
240,1065.023,5.638 
250,1065.023,5.638 
260,1065.023,5.638 
270,1065.023,5.638 
280,1065.023,5.638 
290,1065.023,5.638 
300,1065.023,5.55 
310,1065.023,5.55 
320,1065.023,5.55 
330,1065.023,5.55 
340,1065.023,5.55 
350,1065.023,5.55 
360,1065.023,5.55 
370,1065.023,5.55 
380,1065.023,5.55 
390,1065.023,5.55 
400,1065.023,5.55 
410,1065.023,5.55 
420,1065.023,5.55 
430,1065.023,5.55 
440,1065.023,5.55 
450,1065.023,5.55 
460,1065.023,5.55 
470,1065.023,0.297 
480,1065.023,0.297 
490,1065.023,0.297 
500,1065.023,0.297 
510,1065.023,0.296 
520,1065.023,0.296 
530,1065.023,0.296 
540,1065.023,0.296 
550,1065.023,0.296 
560,1065.023,0.296 
570,1065.023,0.296 
580,1065.023,0.296 
590,1065.023,0.296 
600,1065.023,0.296 
610,1065.023,0.296 
620,1065.023,0.296 
630,1065.023,0.296 
640,1065.023,0.296 
650,1065.023,0.296 
660,1065.023,0.296 
670,1065.023,0.296 
680,1065.023,0.296 
