time,freemem@tsung_controller@ip-172-31-21-240 
0,30776.87109375 
10,30776.87109375 
20,30776.87109375 
30,30776.87109375 
40,30776.87109375 
50,30776.87109375 
60,30776.87109375 
70,30776.87109375 
80,30776.87109375 
90,30776.87109375 
100,30776.87109375 
110,30776.87109375 
120,30776.87109375 
130,30776.87109375 
140,30776.87109375 
150,30776.87109375 
160,30776.87109375 
170,30776.87109375 
180,30776.87109375 
190,30776.87109375 
200,30776.87109375 
210,30776.87109375 
220,30776.87109375 
230,30776.87109375 
240,30776.87109375 
250,30776.87109375 
260,30776.87109375 
270,30776.87109375 
280,30776.87109375 
290,30776.87109375 
300,30776.87109375 
310,30776.87109375 
320,30776.87109375 
330,30776.87109375 
340,30776.87109375 
350,30776.87109375 
360,30776.87109375 
370,30776.87109375 
380,30776.87109375 
390,30776.87109375 
400,30776.87109375 
410,30776.87109375 
420,30776.87109375 
430,30776.87109375 
440,30776.87109375 
450,30776.87109375 
460,30776.87109375 
470,30776.87109375 
480,30776.87109375 
490,30776.87109375 
500,30776.87109375 
510,30776.87109375 
520,30776.87109375 
530,30776.87109375 
540,30776.87109375 
550,30776.87109375 
560,30776.87109375 
570,30776.87109375 
580,30776.87109375 
590,30776.87109375 
600,30776.87109375 
610,30776.87109375 
620,30776.87109375 
630,30776.87109375 
640,30776.87109375 
650,30776.87109375 
660,30776.87109375 
670,30776.87109375 
680,30776.87109375 
