time,freemem@tsung_controller@ip-172-31-21-240 
0,30776.87109375 
10,30744.20703125 
20,30727.484375 
30,30733.453125 
40,30727.734375 
50,30724.94921875 
60,30724.0546875 
70,30732.23828125 
80,30727.140625 
90,30726.0703125 
100,30724.05859375 
110,30724.890625 
120,30719.57421875 
130,30716.52734375 
140,30720.140625 
150,30719.7265625 
160,30717.984375 
170,30717.7578125 
180,30719.33984375 
190,30718.97265625 
200,30715.828125 
210,30729.0234375 
220,30735.453125 
230,30742.82421875 
240,30695.0078125 
250,30679.60546875 
260,30680.984375 
270,30672.70703125 
280,30648.484375 
290,30616.92578125 
300,30622.453125 
310,30631.33984375 
320,30629.5 
330,30623.83984375 
340,30626.640625 
350,30627.9453125 
360,30617.71875 
370,30630.37109375 
380,30630.0390625 
390,30620.22265625 
400,30622.26171875 
410,30635.01171875 
420,30628.06640625 
430,30642.19921875 
440,30747.49609375 
450,30756.55078125 
460,30731.50390625 
470,30631.33203125 
480,30558.08984375 
490,30532.1015625 
500,30521.2421875 
510,30508.87109375 
520,30517.44140625 
530,30516.55078125 
540,30543.87109375 
550,30535.66015625 
560,30522.203125 
570,30521.77734375 
580,30537.97265625 
590,30533.19921875 
600,30535.6875 
610,30518.9375 
620,30522.18359375 
630,30535.64453125 
640,30533.7109375 
650,30525.8984375 
660,30525.91015625 
670,30578.2265625 
680,30759.6875 
