time,connect,request 
0,11.602,291.293 
10,11.602,296.483 
20,11.602,296.483 
30,11.602,296.483 
40,11.602,296.483 
50,11.602,296.483 
60,11.602,296.483 
70,11.602,296.483 
80,11.602,296.483 
90,11.602,296.483 
100,11.602,296.483 
110,11.602,296.483 
120,11.602,296.483 
130,11.602,296.483 
140,11.602,296.483 
150,11.602,296.483 
160,11.602,296.483 
170,11.602,296.483 
180,11.602,296.483 
190,11.602,296.483 
200,11.602,296.483 
210,11.602,296.483 
220,11.602,296.483 
230,11.602,296.483 
240,11.602,296.483 
250,11.602,296.483 
260,11.602,296.483 
270,14.285,296.483 
280,14.285,296.483 
290,14.285,296.483 
300,14.285,296.483 
310,14.285,296.483 
320,14.285,296.483 
330,14.285,296.483 
340,14.285,296.483 
350,14.285,296.483 
360,14.285,296.483 
370,14.285,296.483 
380,14.285,296.483 
390,14.285,296.483 
400,14.285,296.483 
410,14.285,296.483 
420,14.285,296.483 
430,14.285,450.307 
440,14.285,450.307 
450,14.285,450.307 
460,14.285,450.307 
470,14.285,450.307 
480,14.285,450.307 
490,14.285,450.307 
500,14.285,479.425 
510,14.285,479.558 
520,14.285,479.558 
530,14.285,479.558 
540,14.285,479.558 
550,14.285,479.558 
560,14.285,479.558 
570,14.285,479.558 
580,14.285,479.558 
590,14.285,479.558 
600,14.285,479.558 
610,14.285,479.558 
620,14.285,479.558 
630,14.285,479.558 
640,14.285,479.558 
650,14.285,479.558 
660,14.285,479.558 
670,14.285,479.558 
680,14.285,479.558 
690,14.285,479.558 
700,14.285,479.558 
710,14.285,479.558 
720,14.285,479.558 
730,14.285,537.434 
740,14.285,537.434 
750,14.285,537.434 
760,14.285,537.434 
770,14.285,537.434 
780,14.285,537.434 
790,1030.865,1065.409 
800,1030.865,1065.409 
810,1030.865,1065.409 
820,1030.865,1065.409 
830,1030.865,1065.409 
840,1030.865,1065.409 
850,1030.865,1065.409 
860,1030.865,1065.409 
870,1030.865,1065.409 
880,1030.865,1065.409 
890,1030.865,1065.409 
900,1030.865,1065.409 
910,1030.865,1065.409 
920,1030.865,1065.409 
930,1030.865,1065.409 
940,1030.865,1065.409 
950,1030.865,1065.409 
960,1030.865,1065.409 
970,1030.865,1065.409 
980,1030.865,1065.409 
990,1030.865,1065.409 
1000,1030.865,1065.409 
1010,1030.865,1065.409 
1020,1030.865,1065.409 
1030,1030.865,1065.409 
1040,1030.865,1065.409 
