time,connect,request 
0,1.105,3.219 
10,1.105,2.959 
20,1.015,2.957 
30,1.015,2.957 
40,0.828,2.599 
50,0.828,2.599 
60,0.742,2.599 
70,0.673,2.513 
80,0.673,2.513 
90,0.673,2.513 
100,0.673,2.513 
110,0.656,2.513 
120,0.656,2.513 
130,0.656,2.513 
140,0.576,2.513 
150,0.576,2.513 
160,0.56,2.513 
170,0.56,2.513 
180,0.56,2.513 
190,0.56,2.513 
200,0.56,2.513 
210,0.56,2.513 
220,0.56,2.513 
230,0.56,2.513 
240,0.56,2.513 
250,0.56,2.304 
260,0.56,2.304 
270,0.56,2.304 
280,0.56,2.304 
290,0.56,2.304 
300,0.56,2.304 
310,0.56,2.304 
320,0.56,2.304 
330,0.56,2.304 
340,0.56,2.291 
350,0.56,2.291 
360,0.56,2.291 
370,0.56,2.291 
380,0.56,2.291 
390,0.56,2.291 
400,0.56,2.291 
410,0.56,2.291 
420,0.56,2.291 
430,0.56,2.291 
440,0.56,2.291 
450,0.56,2.291 
460,0.56,2.291 
470,0.515,2.291 
480,0.442,2.225 
490,0.442,2.225 
500,0.442,2.225 
510,0.442,2.225 
520,0.442,2.205 
530,0.442,2.205 
540,0.415,2.205 
550,0.415,2.205 
560,0.415,2.178 
570,0.415,2.178 
580,0.415,2.178 
590,0.415,2.178 
600,0.415,2.178 
610,0.415,2.178 
620,0.415,2.178 
630,0.415,2.178 
640,0.415,2.178 
650,0.415,2.178 
660,0.415,2.178 
670,0.415,2.178 
680,0.415,2.178 
690,0.415,2.178 
700,0.415,2.178 
710,0.415,2.141 
720,0.387,2.141 
730,0.387,2.141 
740,0.387,2.141 
750,0.387,2.141 
760,0.387,2.141 
770,0.387,2.141 
780,0.387,2.141 
790,0.387,2.141 
800,0.387,2.141 
810,0.387,2.141 
820,0.387,2.141 
830,0.387,2.141 
840,0.387,2.141 
850,0.387,2.141 
860,0.387,2.141 
870,0.387,2.141 
880,0.387,2.141 
890,0.387,2.141 
900,0.387,2.141 
910,0.387,2.141 
920,0.387,2.141 
930,0.387,2.141 
940,0.387,2.141 
950,0.387,2.141 
960,0.342,2.141 
970,0.342,2.141 
980,0.342,2.141 
990,0.342,2.116 
1000,0.342,2.116 
1010,0.342,2.116 
1020,0.342,2.116 
1030,0.342,2.116 
1040,0.327,2.116 
