time,connect,request 
0,9.3,45 
10,9.1,82.4 
20,9.4,101.6 
30,9.6,95.8 
40,10.2,96.3 
50,10.6,102.9 
60,9.6,103.9 
70,9.7,100 
80,9,83.1 
90,11.1,107 
100,9,90.8 
110,11,106.7 
120,9.4,104.5 
130,10.8,100.6 
140,9.3,100.3 
150,9.5,92.8 
160,8.6,86.2 
170,8.6,91.1 
180,10,97.2 
190,10.8,101.8 
200,0.6,50.6 
210,0,9.3 
220,0,1.8 
230,7,24.5 
240,17.3,132.3 
250,19.7,178.6 
260,17.6,188.7 
270,20.8,187.6 
280,21,205.8 
290,19.7,205.2 
300,18.1,192.6 
310,18.9,181.3 
320,21.2,205.2 
330,17.6,185.2 
340,18.9,181.4 
350,18.6,193.3 
360,20.1,198.3 
370,21.1,203.4 
380,20.3,198.6 
390,19.3,205.4 
400,19.7,199.4 
410,17,177.2 
420,18.9,185.1 
430,14.4,175.3 
440,0,59.3 
450,0,7.4 
460,15.3,49.9 
470,39.7,296.9 
480,43.4,401.8 
490,40.2,405.5 
500,40.8,410.5 
510,37.3,395.8 
520,37.1,370.8 
530,38.8,390.6 
540,41.1,394.1 
550,39.5,405.4 
560,35.6,378.1 
570,40.7,378.4 
580,37.3,388.7 
590,41.6,385 
600,36.6,393.6 
610,36.1,363.4 
620,40.6,396.7 
630,42.2,409.5 
640,42.9,430.6 
650,40,396.4 
660,24,345.5 
670,0,102.2 
680,0,15.6 
690,0,4.2 
700,69.3,351.4 
710,81.5,722.9 
720,74.6,770.5 
730,79.1,775.1 
740,72.1,740.1 
750,81.8,767.3 
760,74.4,784.2 
770,85.2,808.3 
780,81.1,822.1 
790,78.3,805.8 
800,79.4,797 
810,75.7,751.5 
820,77.6,785.7 
830,76.3,758 
840,84.8,803.3 
850,78.7,821.1 
860,76.3,781.7 
870,81.1,771.8 
880,77.2,803.3 
890,79.9,791.7 
900,11.4,449.1 
910,0,83.8 
920,0,11.1 
930,55.9,182.4 
940,151.3,1133.7 
950,151.9,1454.2 
960,161.6,1538 
970,158.5,1638 
980,163.1,1601.4 
990,153.7,1532.9 
1000,159.9,1592.1 
1010,165.6,1634.4 
1020,165.2,1645.6 
1030,167.7,1666.1 
1040,163.8,1649.6 
