time,session 
0,1.9 
10,5.8 
20,9.8 
30,9.9 
40,9.8 
50,9.3 
60,10.8 
70,11 
80,8 
90,9.9 
100,8.7 
110,11.2 
120,10.9 
130,8.7 
140,11.2 
150,9.4 
160,8.4 
170,9.2 
180,9.7 
190,9.8 
200,8.4 
210,2.7 
220,0.6 
230,0.3 
240,7.2 
250,16.6 
260,19 
270,18.1 
280,19 
290,21 
300,19.8 
310,18 
320,20.2 
330,19.5 
340,17.7 
350,19.2 
360,19.6 
370,19.4 
380,19.4 
390,21.4 
400,20.2 
410,18.5 
420,18 
430,18 
440,14.5 
450,2.3 
460,0.6 
470,14.6 
480,35.2 
490,41.8 
500,41.5 
510,42 
520,36 
530,38.8 
540,38.9 
550,42.4 
560,38.5 
570,36.9 
580,38.3 
590,38.1 
600,39.1 
610,37.4 
620,38.6 
630,38.8 
640,44.3 
650,39.9 
660,38.7 
670,24.6 
680,4.8 
690,1.4 
700,7.3 
710,55.7 
720,77 
730,76.1 
740,78.7 
750,75.1 
760,80.1 
770,78.6 
780,81.7 
790,80.1 
800,79.7 
810,76.8 
820,77.5 
830,76.4 
840,78 
850,83.4 
860,79.9 
870,74.8 
880,79.1 
890,79.6 
900,71.9 
910,24.4 
920,3.5 
930,0.8 
940,58.8 
950,132.5 
960,146 
970,165.6 
980,155.5 
990,161.7 
1000,158.4 
1010,165.2 
1020,160.9 
1030,166.3 
1040,164.4 
