time,tr_book_rate_service,page 
0,8099.982,375.929 
10,15431.587,375.929 
20,24652.184,375.929 
30,24652.184,375.929 
40,32838.875,375.929 
50,35467.153,375.929 
60,35467.153,375.929 
70,35467.153,375.929 
80,35467.153,375.929 
90,35467.153,375.929 
100,35467.153,375.929 
110,35467.153,375.929 
120,35467.153,375.929 
130,41283.19,375.929 
140,41283.19,375.929 
150,41283.19,375.929 
160,41283.19,375.929 
170,41283.19,375.929 
180,41283.19,375.929 
190,41283.19,375.929 
200,44534.935,375.929 
210,44534.935,375.929 
220,44534.935,375.929 
230,44534.935,375.929 
240,44534.935,375.929 
250,44534.935,375.929 
260,44534.935,375.929 
270,44534.935,375.929 
280,44534.935,513.533 
290,44534.935,513.533 
300,44534.935,513.533 
310,44534.935,513.533 
320,44534.935,513.533 
330,44534.935,513.533 
340,44534.935,513.533 
350,44534.935,513.533 
360,44534.935,513.533 
370,44534.935,513.533 
380,44534.935,513.533 
390,47874.786,513.533 
400,47874.786,513.533 
410,47874.786,513.533 
420,47874.786,513.533 
430,47874.786,513.533 
440,47874.786,513.533 
450,47874.786,513.533 
460,47874.786,513.533 
470,47874.786,517.832 
480,47874.786,529.463 
490,47874.786,529.463 
500,47874.786,529.463 
510,47874.786,529.463 
520,47874.786,529.463 
530,47874.786,529.463 
540,49047.36,529.463 
550,49047.36,529.463 
560,49047.36,529.463 
570,49047.36,529.463 
580,49047.36,529.463 
590,49047.36,529.463 
600,49047.36,529.463 
610,49047.36,529.463 
620,49047.36,529.463 
630,49047.36,529.463 
640,49047.36,529.463 
650,49047.36,529.463 
660,49047.36,529.463 
670,49047.36,529.463 
680,49047.36,529.463 
690,49047.36,529.463 
700,49047.36,529.463 
710,49047.36,529.463 
720,49047.36,529.463 
730,49047.36,551.422 
740,49047.36,551.422 
750,49047.36,551.422 
760,49047.36,551.422 
770,49047.36,551.422 
780,49047.36,551.422 
790,63694.903,1073.417 
800,63694.903,1073.417 
810,63694.903,1073.417 
820,63694.903,1073.417 
830,63694.903,1073.417 
840,63694.903,1073.417 
850,63694.903,1073.417 
860,63694.903,1073.417 
870,63694.903,1073.417 
880,63694.903,1073.417 
890,63694.903,1073.417 
900,63694.903,1073.417 
910,63694.903,1073.417 
920,63694.903,1073.417 
930,63694.903,1073.417 
940,63694.903,1073.417 
950,63694.903,1073.417 
960,63694.903,1073.417 
970,63694.903,1073.417 
980,63694.903,1073.417 
990,63694.903,1073.417 
1000,63694.903,1073.417 
1010,63694.903,1073.417 
1020,63694.903,1073.417 
1030,63694.903,1073.417 
1040,63694.903,1073.417 
