time,tr_book_rate_service,page 
0,1.5,27.1 
10,5.7,51.8 
20,9.8,62.3 
30,9.9,56.8 
40,9.8,57.4 
50,9.6,62.4 
60,10.7,61.9 
70,11,59.1 
80,8.1,49.9 
90,9.9,65.3 
100,8.7,54.6 
110,11.1,63.6 
120,10.8,62.9 
130,9,60.8 
140,11.2,59.6 
150,9.3,55.3 
160,8.5,51.8 
170,9.2,55 
180,9.5,58.6 
190,9.9,60.6 
200,8.5,30.1 
210,2.8,3.6 
220,0.6,0.6 
230,0.3,13.3 
240,6.5,85 
250,16.6,107.4 
260,19.3,113.4 
270,17.4,112.9 
280,19.3,124.9 
290,21.2,122.6 
300,20,115.8 
310,17.7,108.6 
320,20,123.1 
330,19.6,110.9 
340,17.9,108.7 
350,19.4,116.2 
360,19.8,118.5 
370,19.2,123 
380,19.2,120 
390,21.6,122.8 
400,20.4,118.5 
410,18.5,106.5 
420,18,112 
430,18.1,106.8 
440,14.6,29.3 
450,2.3,2.7 
460,0.5,27.1 
470,14.7,188.7 
480,35.2,246.2 
490,39.8,244 
500,41.4,246.6 
510,42.5,235.1 
520,36.2,223.5 
530,38.6,234.8 
540,39.7,235.3 
550,40.9,243.5 
560,39.6,227.2 
570,36.3,225.8 
580,39,234.1 
590,37.9,229.5 
600,39.5,238.7 
610,37.2,217 
620,38.5,238.3 
630,39.1,247.2 
640,44.2,257.3 
650,40.3,237.3 
660,38.5,210.8 
670,25.3,50 
680,4.9,5.8 
690,1.4,1.4 
700,7.2,215.9 
710,55.1,452.1 
720,77.4,463.2 
730,76.2,464.8 
740,74.8,445.8 
750,75.6,456.1 
760,80,474 
770,77.6,483.3 
780,83.3,494.3 
790,80.5,485.3 
800,80.1,478.1 
810,75.4,449.3 
820,78.5,472.6 
830,77,453.3 
840,77.8,480.5 
850,83.9,494.1 
860,78.1,469.9 
870,77,460.8 
880,79.3,484.8 
890,79,475.6 
900,72.5,263.6 
910,25.4,33.2 
920,3.7,3.8 
930,0.5,100.2 
940,57.7,718.6 
950,132.5,887.1 
960,146.5,925.4 
970,165.9,985.1 
980,155.9,963.7 
990,154.7,917 
1000,159.5,956 
1010,163.5,978.8 
1020,160.9,989.8 
1030,167.9,996.6 
1040,164.3,993.2 
