time,freemem@tsung_controller@ip-172-31-27-122 
0,380202.02734375 
10,380169.5546875 
20,380148.75390625 
30,380148.75390625 
40,380148.75390625 
50,380148.75390625 
60,380147.48828125 
70,380147.48828125 
80,380147.48828125 
90,380144.91796875 
100,380144.171875 
110,380141.72265625 
120,380124.18359375 
130,380124.18359375 
140,380124.18359375 
150,380124.18359375 
160,380124.18359375 
170,380124.18359375 
180,380124.18359375 
190,380124.18359375 
200,380124.18359375 
210,380124.18359375 
220,380124.18359375 
230,380124.18359375 
240,380124.18359375 
250,380102.7578125 
260,380087.4609375 
270,380080.21875 
280,380072.5234375 
290,380064.0 
300,380064.0 
310,380060.24609375 
320,380060.24609375 
330,380057.015625 
340,380057.015625 
350,380057.015625 
360,380057.015625 
370,380057.015625 
380,380057.015625 
390,380051.21484375 
400,380051.21484375 
410,380051.21484375 
420,380051.21484375 
430,380051.21484375 
440,380051.21484375 
450,380051.21484375 
460,380051.21484375 
470,380051.21484375 
480,379997.15625 
490,379926.0078125 
500,379926.0078125 
510,379926.0078125 
520,379926.0078125 
530,379926.0078125 
540,379926.0078125 
550,379926.0078125 
560,379926.0078125 
570,379926.0078125 
580,379926.0078125 
590,379926.0078125 
600,379926.0078125 
610,379926.0078125 
620,379926.0078125 
630,379926.0078125 
640,379926.0078125 
650,379926.0078125 
660,379926.0078125 
670,379926.0078125 
680,379926.0078125 
690,379926.0078125 
700,379926.0078125 
710,379893.48828125 
720,379761.1328125 
730,379734.546875 
740,379733.19921875 
750,379733.19921875 
760,379733.19921875 
770,379725.984375 
780,379725.984375 
790,379709.7734375 
800,379709.7734375 
810,379709.7734375 
820,379709.7734375 
830,379709.7734375 
840,379709.7734375 
850,379698.1953125 
860,379698.1953125 
870,379698.1953125 
880,379698.1953125 
890,379698.1953125 
900,379698.1953125 
910,379698.1953125 
920,379698.1953125 
930,379698.1953125 
940,379698.1953125 
950,379515.015625 
960,379406.37109375 
970,379328.4765625 
980,379328.4765625 
990,379328.4765625 
1000,379328.4765625 
1010,379299.4375 
1020,379299.4375 
1030,379299.4375 
1040,379299.4375 
