time,load@tsung_controller@ip-172-31-27-122 
0,0.0 
10,0.0 
20,0.0703125 
30,0.0703125 
40,0.0703125 
50,0.0703125 
60,0.0703125 
70,0.0703125 
80,0.1015625 
90,0.1015625 
100,0.1015625 
110,0.1015625 
120,0.1015625 
130,0.1015625 
140,0.1015625 
150,0.109375 
160,0.109375 
170,0.109375 
180,0.109375 
190,0.109375 
200,0.109375 
210,0.109375 
220,0.109375 
230,0.109375 
240,0.109375 
250,0.109375 
260,0.109375 
270,0.109375 
280,0.109375 
290,0.109375 
300,0.109375 
310,0.12109375 
320,0.171875 
330,0.171875 
340,0.171875 
350,0.171875 
360,0.23828125 
370,0.23828125 
380,0.23828125 
390,0.23828125 
400,0.23828125 
410,0.23828125 
420,0.23828125 
430,0.26953125 
440,0.26953125 
450,0.26953125 
460,0.26953125 
470,0.26953125 
480,0.26953125 
490,0.26953125 
500,0.26953125 
510,0.26953125 
520,0.30078125 
530,0.41015625 
540,0.5 
550,0.5 
560,0.5 
570,0.5 
580,0.5 
590,0.5 
600,0.5 
610,0.5 
620,0.5 
630,0.5 
640,0.5 
650,0.5 
660,0.5390625 
670,0.5390625 
680,0.5390625 
690,0.5390625 
700,0.5390625 
710,0.5390625 
720,0.5390625 
730,0.6015625 
740,0.6015625 
750,0.6015625 
760,0.6015625 
770,0.6015625 
780,0.6484375 
790,0.7109375 
800,0.7109375 
810,0.8984375 
820,1.0703125 
830,1.0703125 
840,1.0703125 
850,1.0703125 
860,1.0703125 
870,1.0703125 
880,1.0703125 
890,1.0703125 
900,1.0703125 
910,1.0703125 
920,1.0703125 
930,1.0703125 
940,1.0703125 
950,1.0703125 
960,1.0703125 
970,1.0703125 
980,1.0703125 
990,1.1484375 
1000,1.28125 
1010,1.5390625 
1020,1.5390625 
1030,1.62109375 
1040,1.62109375 
