time,session 
0,0.1 
10,2.5 
20,5.8 
30,4.3 
40,5.3 
50,7.8 
60,9 
70,10.9 
80,9.2 
90,11.9 
100,11.5 
110,9.8 
120,7.3 
130,9.7 
140,10.2 
150,9.7 
160,9.7 
170,10 
180,10 
190,9 
200,10.8 
210,6.6 
220,5.2 
230,5.3 
240,5 
250,2.2 
260,0.8 
270,0.3 
280,0.1 
290,1.4 
300,5.6 
310,10.1 
320,8.4 
330,11.9 
340,15.5 
350,15.9 
360,17.9 
370,17.8 
380,21 
390,22.5 
400,19.8 
410,19.7 
420,20.3 
430,21.4 
440,20.7 
450,20.6 
460,17 
470,18.9 
480,20 
490,16.7 
500,12 
510,10.6 
520,9 
530,7.2 
540,5.6 
550,1.6 
560,0.5 
570,0.4 
580,0.6 
590,5.4 
600,13.4 
610,10.6 
620,10.7 
630,10.3 
640,10.1 
650,12.2 
660,14.8 
670,14.1 
680,15.7 
690,14.4 
700,16.2 
710,13.3 
720,16.1 
730,15 
740,14.6 
750,15.7 
760,15.2 
770,17.1 
780,18.2 
790,18.1 
800,20.1 
810,22.8 
820,22.8 
830,27.1 
840,37.9 
850,37.7 
860,44.2 
870,44.5 
880,43.6 
890,38.5 
900,51.3 
910,63.6 
920,39.8 
930,9.9 
940,1.9 
950,0.4 
960,0 
970,0.1 
980,0.2 
990,1.8 
1000,1.8 
1010,2 
1020,3.3 
1030,4.6 
1040,8.5 
1050,15.6 
1060,26.8 
1070,41.7 
1080,64.2 
1090,72 
1100,72.2 
1110,66.3 
1120,66.8 
1130,74.5 
1140,75.2 
1150,85.4 
1160,71.2 
1170,61.2 
1180,49.2 
1190,44 
1200,43.7 
1210,52.7 
1220,53.4 
1230,56 
1240,54.7 
1250,52.5 
1260,57.9 
1270,67.1 
1280,87.5 
1290,72.4 
1300,35 
1310,9.8 
1320,1.5 
1330,0.3 
1340,0 
1350,0 
1360,0 
1370,0 
1380,0.8 
1390,10.7 
1400,54.8 
1410,119.4 
1420,144.7 
1430,121.2 
1440,118.3 
1450,131.2 
1460,153.4 
1470,175 
1480,178.6 
1490,173.1 
1500,159 
1510,162.8 
1520,149.6 
1530,142.1 
1540,130.6 
1550,110.1 
1560,83.5 
1570,67.2 
1580,45.8 
1590,42.3 
1600,43.4 
1610,44.5 
1620,43.6 
1630,49.6 
1640,50.8 
1650,58.4 
1660,81.6 
1670,130.5 
1680,79.4 
1690,27 
1700,4.9 
1710,0.5 
1712,0 
