time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
40,19430.449,27010.041,627.405,10838.482,40538.24,14644.679,19897.201 
50,27411.527,27010.041,670.842,12484.496,48133.854,16832.455,20131.642 
60,30518.855,27010.041,670.842,14020.889,48133.854,20896.326,23204.386 
70,30518.855,27010.041,670.842,14020.889,50253.997,21497.084,23204.386 
80,30518.855,27010.041,670.842,14020.889,50253.997,21497.084,23204.386 
90,32355.615,27010.041,670.842,14020.889,50253.997,22388.991,24698.383 
100,32355.615,28516.54,670.842,17852.808,50253.997,22388.991,24698.383 
110,33293.59,28516.54,670.842,17852.808,50253.997,22388.991,24698.383 
120,33293.59,28516.54,670.842,17852.808,51067.624,22388.991,26166.693 
130,33293.59,28516.54,670.842,17852.808,59242.031,22388.991,26166.693 
140,33293.59,28516.54,670.842,17852.808,59242.031,22388.991,26166.693 
150,33293.59,32877.227,670.842,17852.808,59568.396,22388.991,26166.693 
160,36100.982,32877.227,670.842,17852.808,59568.396,22388.991,26166.693 
170,36325.056,32877.227,670.842,17852.808,59568.396,22388.991,26166.693 
180,41128.604,32877.227,670.842,17852.808,59568.396,22388.991,26166.693 
190,41128.604,32877.227,728.467,17852.808,59568.396,22388.991,26166.693 
200,41128.604,37057.072,728.467,17852.808,59568.396,22388.991,26166.693 
210,41128.604,37057.072,728.467,17852.808,59568.396,22388.991,26166.693 
220,41128.604,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
230,41128.604,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
240,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
250,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
260,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
270,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
280,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
290,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
300,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
310,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
320,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
330,45731.932,37057.072,728.467,17852.808,59568.396,22388.991,26815.824 
