time,users_count,finish_users_count 
0,11.4,0.1 
10,12.5,2.5 
20,8.8,5.8 
30,10.1,4.3 
40,10.5,5.3 
50,10,7.8 
60,8.6,9 
70,9,10.9 
80,10.8,9.2 
90,9.9,11.9 
100,9.7,11.5 
110,9.6,9.8 
120,10.4,7.3 
130,10.6,9.7 
140,10.6,10.2 
150,9.9,9.7 
160,8.7,9.7 
170,9,10 
180,11.8,10 
190,8.1,9 
200,0,10.8 
210,0,6.6 
220,0,5.2 
230,0,5.3 
240,0,5 
250,0,2.2 
260,0,0.8 
270,0,0.3 
280,8.4,0.1 
290,19.4,1.4 
300,19.3,5.6 
310,18.3,10.1 
320,18.6,8.4 
330,21,11.9 
340,20.4,15.5 
350,17,15.9 
360,19.4,17.9 
370,22.1,17.8 
380,20.3,21 
390,20.8,22.5 
400,20.3,19.8 
410,18.8,19.7 
420,19.8,20.3 
430,19.9,21.4 
440,17.8,20.7 
450,18.2,20.6 
460,20.1,17 
470,19,18.9 
480,11.1,20 
490,0,16.7 
500,0,12 
510,0,10.6 
520,0,9 
530,0,7.2 
540,0,5.6 
550,0,1.6 
560,0,0.5 
570,0,0.4 
580,35.3,0.6 
590,38.8,5.4 
600,40.2,13.4 
610,40.3,10.6 
620,39.7,10.7 
630,41.2,10.3 
640,37.6,10.1 
650,41.7,12.2 
660,41.6,14.8 
670,43.1,14.1 
680,41.1,15.7 
690,38.9,14.4 
700,37,16.2 
710,39.8,13.3 
720,39.5,16.1 
730,39.7,15 
740,38.1,14.6 
750,37.3,15.7 
760,41.5,15.2 
770,40.8,17.1 
780,4.7,18.2 
790,0,18.1 
800,0,20.1 
810,0,22.8 
820,0,22.8 
830,0,27.1 
840,0,37.9 
850,0,37.7 
860,0,44.2 
870,0,44.5 
880,0,43.6 
890,0,38.5 
900,0,51.3 
910,0,63.6 
920,0,39.8 
930,0,9.9 
940,0,1.9 
950,0,0.4 
960,72.9,0 
970,80.3,0.1 
980,72,0.2 
990,71.3,1.8 
1000,77.3,1.8 
1010,79.7,2 
1020,75.9,3.3 
1030,75.3,4.6 
1040,81.2,8.5 
1050,75.8,15.6 
1060,75.8,26.8 
1070,79.4,41.7 
1080,82.6,64.2 
1090,79.5,72 
1100,75.4,72.2 
1110,78.9,66.3 
1120,75.5,66.8 
1130,83.7,74.5 
1140,75.4,75.2 
1150,77.5,85.4 
1160,7.7,71.2 
1170,0,61.2 
1180,0,49.2 
1190,0,44 
1200,0,43.7 
1210,0,52.7 
1220,0,53.4 
1230,0,56 
1240,0,54.7 
1250,0,52.5 
1260,0,57.9 
1270,0,67.1 
1280,0,87.5 
1290,0,72.4 
1300,0,35 
1310,0,9.8 
1320,0,1.5 
1330,0,0.3 
1340,133.9,0 
1350,148.3,0 
1360,158.8,0 
1370,162.3,0 
1380,156.9,0.8 
1390,160.3,10.7 
1400,165.5,54.8 
1410,150.4,119.4 
1420,152.8,144.7 
1430,153,121.2 
1440,154.8,118.3 
1450,142.1,131.2 
1460,141.4,153.4 
1470,153.2,175 
1480,156.7,178.6 
1490,150.8,173.1 
1500,157,159 
1510,159.8,162.8 
1520,154.8,149.6 
1530,157.1,142.1 
1540,18.5,130.6 
1550,0,110.1 
1560,0,83.5 
1570,0,67.2 
1580,0,45.8 
1590,0,42.3 
1600,0,43.4 
1610,0,44.5 
1620,0,43.6 
1630,0,49.6 
1640,0,50.8 
1650,0,58.4 
1660,0,81.6 
1670,0,130.5 
1680,0,79.4 
1690,0,27 
1700,0,4.9 
1710,0,0.5 
1712,0,0 
