time,users_count,finish_users_count 
0,114,1 
10,239,26 
20,327,84 
30,428,127 
40,533,180 
50,633,258 
60,719,348 
70,809,457 
80,917,549 
90,1016,668 
100,1113,783 
110,1209,881 
120,1313,954 
130,1419,1051 
140,1525,1153 
150,1624,1250 
160,1711,1347 
170,1801,1447 
180,1919,1547 
190,2000,1637 
200,2000,1745 
210,2000,1811 
220,2000,1863 
230,2000,1916 
240,2000,1966 
250,2000,1988 
260,2000,1996 
270,2000,1999 
280,2084,2000 
290,2278,2014 
300,2471,2070 
310,2654,2171 
320,2840,2255 
330,3050,2374 
340,3254,2529 
350,3424,2688 
360,3618,2867 
370,3839,3045 
380,4042,3255 
390,4250,3480 
400,4453,3678 
410,4641,3875 
420,4839,4078 
430,5038,4292 
440,5216,4499 
450,5398,4705 
460,5599,4875 
470,5789,5064 
480,5900,5264 
490,5900,5431 
500,5900,5551 
510,5900,5657 
520,5900,5747 
530,5900,5819 
540,5900,5875 
550,5900,5891 
560,5900,5896 
570,5900,5900 
580,6253,5906 
590,6641,5960 
600,7043,6094 
610,7446,6200 
620,7843,6307 
630,8255,6410 
640,8631,6511 
650,9048,6633 
660,9464,6781 
670,9895,6922 
680,10306,7079 
690,10695,7223 
700,11065,7385 
710,11463,7518 
720,11858,7679 
730,12255,7829 
740,12636,7975 
750,13009,8132 
760,13424,8284 
770,13832,8455 
780,13879,8637 
790,13879,8818 
800,13879,9019 
810,13879,9247 
820,13879,9475 
830,13879,9746 
840,13879,10125 
850,13879,10502 
860,13879,10944 
870,13879,11389 
880,13879,11825 
890,13879,12210 
900,13879,12723 
910,13879,13359 
920,13879,13757 
930,13879,13856 
940,13879,13875 
950,13879,13879 
960,14608,13879 
970,15411,13880 
980,16131,13882 
990,16844,13900 
1000,17617,13918 
1010,18414,13938 
1020,19173,13971 
1030,19926,14017 
1040,20738,14102 
1050,21496,14258 
1060,22254,14526 
1070,23048,14943 
1080,23874,15585 
1090,24669,16305 
1100,25423,17027 
1110,26212,17690 
1120,26967,18358 
1130,27804,19103 
1140,28558,19855 
1150,29333,20709 
1160,29410,21421 
1170,29410,22033 
1180,29410,22525 
1190,29410,22965 
1200,29410,23402 
1210,29410,23929 
1220,29410,24463 
1230,29410,25023 
1240,29410,25570 
1250,29410,26095 
1260,29410,26674 
1270,29410,27345 
1280,29410,28220 
1290,29410,28944 
1300,29410,29294 
1310,29410,29392 
1320,29410,29407 
1330,29410,29410 
1340,30749,29410 
1350,32232,29410 
1360,33820,29410 
1370,35443,29410 
1380,37012,29418 
1390,38615,29525 
1400,40270,30073 
1410,41774,31267 
1420,43302,32714 
1430,44832,33926 
1440,46380,35109 
1450,47801,36421 
1460,49215,37955 
1470,50747,39705 
1480,52314,41491 
1490,53822,43222 
1500,55392,44812 
1510,56990,46440 
1520,58538,47936 
1530,60109,49357 
1540,60294,50663 
1550,60294,51764 
1560,60294,52599 
1570,60294,53271 
1580,60294,53729 
1590,60294,54152 
1600,60294,54586 
1610,60294,55031 
1620,60294,55467 
1630,60294,55963 
1640,60294,56471 
1650,60294,57055 
1660,60294,57871 
1670,60294,59176 
1680,60294,59970 
1690,60294,60240 
1700,60294,60289 
1710,60294,60294 
1712,60294,60294 
