time,connect,request 
0,7.42,6609.643 
10,7.42,6827.133 
20,14.696,7176.248 
30,14.696,7726.162 
40,31.061,7726.162 
50,31.061,7726.162 
60,31.061,7726.162 
70,31.061,7726.162 
80,31.061,7726.162 
90,31.061,7726.162 
100,1008.139,7726.162 
110,1008.139,7726.162 
120,1008.139,7726.162 
130,1008.139,8203.222 
140,1008.139,9450.453 
150,1008.139,9450.453 
160,1008.139,10636.833 
170,1008.139,10636.833 
180,1008.139,10636.833 
190,1008.139,11110.074 
200,1008.139,11360.942 
210,1008.139,11360.942 
220,1008.139,11403.081 
230,1008.139,11403.081 
240,1008.139,11403.081 
250,1008.139,11403.081 
260,1008.139,11403.081 
270,1008.139,11403.081 
280,1008.139,11403.081 
290,1008.139,11403.081 
300,1008.139,11403.081 
310,1008.139,11403.081 
320,1008.139,11403.081 
330,1008.139,11403.081 
340,1008.139,11403.081 
350,1008.139,11403.081 
360,1008.139,11403.081 
370,1008.139,11403.081 
380,1008.139,11403.081 
390,1008.139,11403.081 
400,1008.139,11403.081 
410,1008.139,11403.081 
420,1008.139,11403.081 
430,1008.139,11403.081 
440,1008.139,11403.081 
450,1008.139,11403.081 
460,1008.139,11403.081 
470,1008.139,11403.081 
480,1008.139,11403.081 
490,1008.139,11403.081 
500,1008.139,11403.081 
510,1008.139,11403.081 
520,1008.139,11403.081 
530,1008.139,11403.081 
540,1008.139,11521.505 
550,1008.139,11720.267 
560,1020.701,11720.267 
570,1020.701,11720.267 
580,1020.701,11720.267 
590,1020.701,11720.267 
600,1020.701,11720.267 
610,1020.701,11720.267 
620,1020.701,11720.267 
630,1020.701,11720.267 
640,1028.769,11720.267 
650,1028.769,11720.267 
660,1028.769,11720.267 
670,1028.769,11720.267 
680,1028.769,11720.267 
690,1028.769,11720.267 
700,1028.769,11720.267 
710,1028.769,11720.267 
720,1028.769,11720.267 
730,1028.769,11720.267 
740,1028.769,11720.267 
750,1028.769,11720.267 
760,1028.769,11720.267 
770,1028.769,11720.267 
780,1028.769,11720.267 
790,1028.769,11720.267 
800,1028.769,11720.267 
810,1028.769,11720.267 
820,1028.769,11720.267 
830,1028.769,11720.267 
840,1028.769,11720.267 
850,1028.769,11720.267 
860,1028.769,11720.267 
870,1028.769,11720.267 
880,1028.769,11720.267 
890,1028.769,11720.267 
900,1028.769,11720.267 
910,1028.769,11720.267 
920,1028.769,11720.267 
930,1028.769,11720.267 
940,1028.769,11720.267 
950,1028.769,11720.267 
960,1028.769,11720.267 
970,1028.769,11720.267 
