time,connect,request 
0,7.8,9.3 
10,10,35.8 
20,9.2,66.6 
30,10.4,118.9 
40,10.4,236 
50,10.7,430.3 
60,10,533.6 
70,8.7,473.3 
80,9.4,498.3 
90,10.6,500.9 
100,10.6,487 
110,10.3,348 
120,10,197.9 
130,10.7,155.1 
140,11.8,144.5 
150,9,141.3 
160,9.5,135.3 
170,7.8,139 
180,12.3,174.7 
190,10,265.8 
200,0.7,353.5 
210,0,387.3 
220,0,374.7 
230,0,344 
240,0,294.7 
250,0,234.3 
260,0,207.3 
270,0,200.7 
280,0,178.2 
290,0,151.5 
300,0,134.5 
310,0,97.6 
320,0,67 
330,0,47.8 
340,0,33.1 
350,0,27.8 
360,0,22.5 
370,0,17.6 
380,0,8.8 
390,0,4.8 
400,0,4.6 
410,0,2.5 
420,0,1.4 
430,0,0.2 
440,0,0.5 
450,7.9,30.4 
460,19.4,228.8 
470,21.3,412.7 
480,22.2,492.1 
490,20.8,257.9 
500,19.9,170.9 
510,20.4,171.2 
520,20.7,297.8 
530,19.7,546 
540,18.9,750.7 
550,20,955.8 
560,22.5,978.3 
570,19.8,930.1 
580,19.6,969.9 
590,18.3,994.6 
600,19.6,991.3 
610,19.4,954.9 
620,20.9,921.4 
630,20.8,873.4 
640,22.4,858.3 
650,5.5,782.2 
660,0,634.2 
670,0,542.7 
680,0,438 
690,0,338 
700,0,223.7 
710,0,162.2 
720,0,122.2 
730,0,88.6 
740,0,69.9 
750,0,70.6 
760,0,65.1 
770,0,65.5 
780,0,63.3 
790,0,66.9 
800,0,63.3 
810,0,45.4 
820,0,17.2 
830,0,3.1 
840,13,48 
850,42.2,439.8 
860,39.4,706.4 
870,38.6,769.5 
880,39,793.9 
890,41.5,756.2 
900,41.2,778.5 
910,36.9,787.2 
920,38.4,822.4 
930,39.2,837.5 
940,42,858.6 
950,39.3,851.7 
960,40.6,860.3 
970,39.8,857 
