time,session 
50,7.6 
60,16.1 
70,7.7 
80,9.1 
90,11.5 
100,12.8 
110,10 
120,4.9 
130,3.7 
140,2.1 
150,1.9 
160,1.5 
170,1.2 
180,1.2 
190,2 
200,4.4 
210,7.1 
220,7.7 
230,11.4 
240,11.7 
250,9 
260,6.3 
270,4.6 
280,5.4 
290,4.7 
300,5.6 
310,4.8 
320,4.6 
330,3.8 
340,3.3 
350,3.1 
360,2.8 
370,2.9 
380,1.6 
390,0.6 
400,0.7 
410,0.2 
420,0.2 
430,0 
440,0 
450,0.1 
460,1.4 
470,5.9 
480,8.7 
490,2.1 
500,1.5 
510,1.3 
520,2.3 
530,4.1 
540,7.4 
550,16.8 
560,23.2 
570,20.2 
580,20.2 
590,19.7 
600,24.1 
610,21.6 
620,25.3 
630,25 
640,23.5 
650,22.1 
660,19.9 
670,16.2 
680,16.4 
690,12.8 
700,7.4 
710,4.6 
720,5.4 
730,3.8 
740,3.4 
750,3.6 
760,3.6 
770,3.6 
780,3.9 
790,4.5 
800,6.1 
810,6.1 
820,1.8 
830,0.4 
840,0.1 
850,2.2 
860,10.5 
870,10.5 
880,9.6 
890,9.8 
900,7.7 
910,9.3 
920,8.5 
930,9.1 
940,11.9 
950,10.8 
960,10.8 
970,13.4 
