time,session 
50,6509.28506108038 
60,13347.697995197675 
70,17036.36471717898 
80,27784.69395567394 
90,28312.363865626034 
100,26571.884035876763 
110,24782.56683262933 
120,24026.57838354515 
130,21184.750253731123 
140,21684.600981431176 
150,20381.45507423025 
160,22566.01957799171 
170,18169.33660247808 
180,16511.49295506938 
190,18223.252978472854 
200,21400.056155585553 
210,23113.52228389892 
220,28780.747094299502 
230,30166.301357454027 
240,35794.44234255018 
250,36726.81846098532 
260,32816.29755478538 
270,35341.82697941133 
280,32620.760412612322 
290,23896.72647812702 
300,23688.18937359303 
310,24531.90898189084 
320,24391.030372160072 
330,25432.577661442956 
340,23065.94244406552 
350,20132.76417445803 
360,22541.061213112673 
370,19725.12089213301 
380,19658.634999245212 
390,17191.150150695234 
400,7848.6526473597405 
410,976.4729999999981 
420,89.05850000000646 
430,0 
440,0 
450,0.0 
460,1606.4433598597968 
470,3142.4790571011695 
480,5242.650544231146 
490,6267.4038136386525 
500,6921.810127579526 
510,7352.673312640517 
520,6819.523086821711 
530,10984.087542900015 
540,15617.901321480096 
550,21593.020351377014 
560,24764.355811756046 
570,31518.43786232209 
580,32643.358717840645 
590,37163.62562806816 
600,40185.383036023944 
610,37519.3702623532 
620,38302.36903446863 
630,40416.25271906804 
640,38532.756827808436 
650,40517.339591070195 
660,38361.1768675723 
670,34415.891456046156 
680,34481.01059609564 
690,25871.230441962554 
700,24016.66621947723 
710,22753.877104472373 
720,17574.883888028646 
730,15546.299082197675 
740,14489.19587950411 
750,16422.658143666275 
760,15357.800432486443 
770,15150.093610711721 
780,12902.495369504415 
790,12947.404289853243 
800,10627.11161899465 
810,9117.161366098811 
820,6817.39027428701 
830,2764.2139953454484 
840,0.0 
850,2398.475636938644 
860,3742.0023160472474 
870,4815.411351373743 
880,5967.458941004008 
890,6326.2570268474865 
900,8397.526089369985 
910,8067.685407798329 
920,12034.482605406609 
930,13043.455749329485 
940,14937.983409564773 
950,17089.433578897173 
960,18934.65431172428 
970,19969.4236179697 
