time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
70,1.6,5.6,232.6,8,15.1,6.2,8.3 
80,5.9,4.9,254.9,9,11.5,8.8,9.6 
90,7.6,4,253.4,11.3,9.3,9.5,8.4 
100,9.6,4.5,236.1,13.1,10.7,6,4.8 
110,6.1,4.8,158.1,10.2,7.7,4.6,3 
120,3.2,2.1,98.1,4.6,3.8,1.2,3 
130,1.7,0.9,74.3,3.9,2.9,1.5,2 
140,0.8,1,65.9,2.1,3.6,1,1.9 
150,1,0.8,67.3,2,3,1.2,1.1 
160,0.6,1,67.1,1.4,2.8,1.4,1.1 
170,0.4,0.5,64.9,1.3,3.1,1.1,1 
180,1.2,1.4,80.1,1.1,3.6,1.1,1 
190,1.4,2.6,123.7,2.1,8.3,1.7,1.3 
200,1.6,3.8,168.6,4.4,13,1.6,2.2 
210,2.4,5.8,179.4,6.9,13.7,2.3,3.1 
220,2.7,10.7,169.7,7.9,12.2,2.6,3 
230,2.5,7.5,157.8,11.4,10.6,2.6,4.2 
240,2.5,6.5,140.1,11.7,9.2,4.2,6.2 
250,2.6,4.2,121.1,8.8,6.8,3.6,8.5 
260,3.3,0.8,111.4,6.4,2.6,6.5,7 
270,3.7,0.5,109.5,4.6,1.6,9.4,6.4 
280,5.1,0.2,99.2,5.3,0.5,6.9,4.3 
290,6,0,84.1,4.7,0.2,4.8,2.5 
300,7,0,74.7,5.6,0,4.4,0.5 
310,6.5,0,50.2,4.9,0,2.6,0.3 
320,4.2,0,36,4.6,0.1,0.2,0.1 
330,3.1,0,26.1,3.8,0,0.3,0.2 
340,1.8,0,16.8,3.3,0,0.2,0 
350,1.9,0,13.4,3.2,0,0.3,0 
360,0.3,0,11.8,2.6,0,0,0 
370,0.5,0,8.7,3.1,0,0.2,0.1 
380,0.3,0,4.1,1.6,0,0,0 
390,0.2,0,2.5,0.6,0,0,0 
400,0.2,0,2.2,0.7,0,0,0 
410,0.1,0,1.3,0.2,0,0.1,0 
420,0,0,0.7,0.2,0,0,0 
430,0,0,0.2,0,0,0,0 
440,0.1,0,0.2,0,0,0,0 
450,0,0,14,0.1,0.2,0,0 
460,0,2.6,99.5,1.4,6.3,0,0 
470,0,7.1,180.2,5.9,12.8,0,0.2 
480,0,9,217,8.7,15.4,0.7,2.7 
490,0.2,3.7,115.2,2.1,7.4,1,2.6 
500,0.4,1.2,79.3,1.5,4,1.1,2 
510,0.2,0.9,77.2,1.1,4.4,0.8,2.9 
520,0.3,1.9,143.3,2.3,6.4,1.1,2.7 
530,0.9,4.4,259.5,3.9,15.9,3.7,3.5 
540,2.4,9.5,354.9,7.6,24.2,5.5,4.7 
550,4.4,19.8,430.6,16.3,29.4,5.9,5.6 
560,5.9,15.9,460.7,23.1,28.4,5.9,10.2 
570,5.6,13.3,442.9,20.6,27.4,9.1,13 
580,8.6,12.9,470.1,19.9,25.6,13.4,17.2 
590,10.7,11.4,490.7,19.9,25.2,15.4,17.1 
600,12.6,10.4,484.7,24.4,22.2,17.7,13 
610,15.3,9.9,470.3,21.4,19.9,14.5,13.9 
620,17.1,10.1,448.1,24.8,20.8,12.2,9.8 
630,14.1,10.6,426.6,25.4,17.3,9.2,9.2 
640,10.5,9.7,407.6,23.3,19.6,10.5,10.2 
650,9.6,9.3,380.7,22.3,20.6,10.1,9.1 
660,10.8,9.2,307.9,20,15.6,7.6,9.5 
670,7.4,7.4,275.7,16.2,12.3,9.5,9.4 
680,10.1,4.8,218.8,16.8,6.9,10.4,8.9 
690,7.9,2.3,178.8,12.7,6.1,7.9,6.9 
700,7.1,0.5,122,7.4,3.2,6.4,5.6 
710,6.1,0.2,89.1,4.7,1.6,4.4,4.5 
720,4.8,0.1,65.5,5.4,0.4,3.5,2.9 
730,3.7,0.1,49.5,3.8,0.2,3.4,1.2 
740,2.5,0,37.4,3.1,0.2,2.3,1.2 
750,3,0,38.6,3.7,0.1,1.7,0.9 
760,2.6,0,35.7,3.7,0,1.6,0.7 
770,3.9,0,34.3,3.6,0,1.8,0.1 
780,2.8,0,34.7,3.8,0,1.6,0.4 
790,3.9,0,35.3,4.7,0,1.2,0 
800,3.2,0,33.7,6,0,0.6,0 
810,1.8,0,23.4,6.1,0,0.1,0 
820,1.2,0,8.3,1.9,0,0,0 
830,0.2,0,1.4,0.4,0,0,0 
840,0,0,20.5,0.1,0.4,0,0 
850,0,3.7,182.9,2,13.5,0,0 
860,0,14,299.3,10,19.1,0,0 
870,0,11.9,338.5,10.9,26,0.4,2.4 
880,0.5,13.3,356.1,9.7,25.3,1.9,4.7 
890,0.7,10.3,346.2,9.9,22,4.1,7.4 
900,1.1,8.7,361.5,7.7,23,4.1,8.8 
910,2.7,9.6,365.2,9.1,21,6.2,8.6 
920,3.6,8.5,385.3,8.8,21.5,7.1,8.5 
930,4.3,9.7,387,8.8,23.6,7.2,7.8 
940,4.4,10.5,395.2,12,24,6.7,7.1 
950,5.6,11,391.5,10.9,23.7,5.6,7.5 
960,4.9,10.5,393.9,10.8,23.8,5.5,7.2 
970,4.8,9.9,397,13.5,23.9,5.6,6.5 
