time,users,connected 
0,88,78 
10,184,178 
20,274,270 
30,377,374 
40,483,478 
50,511,512 
60,455,453 
70,461,460 
80,464,464 
90,453,457 
100,433,432 
110,437,433 
120,487,487 
130,556,555 
140,652,652 
150,724,722 
160,803,803 
170,871,868 
180,982,980 
190,1059,1059 
200,1022,1022 
210,951,953 
220,874,874 
230,760,760 
240,643,643 
250,553,555 
260,490,491 
270,444,445 
280,390,392 
290,343,345 
300,287,289 
310,239,240 
320,193,194 
330,155,156 
340,122,123 
350,91,91 
360,63,65 
370,34,34 
380,18,18 
390,12,12 
400,5,5 
410,3,3 
420,1,1 
430,1,1 
440,1,1 
450,80,79 
460,259,259 
470,413,413 
480,549,548 
490,735,735 
500,933,919 
510,1117,1112 
520,1306,1296 
530,1455,1454 
540,1570,1567 
550,1610,1604 
560,1592,1598 
570,1595,1590 
580,1589,1587 
590,1573,1571 
600,1527,1523 
610,1503,1503 
620,1462,1464 
630,1417,1418 
640,1408,1409 
650,1236,1241 
660,1037,1041 
670,875,879 
680,711,711 
690,583,584 
700,509,510 
710,463,463 
720,409,409 
730,371,371 
740,337,340 
750,301,303 
760,265,266 
770,229,230 
780,190,192 
790,145,145 
800,84,85 
810,23,24 
820,5,5 
830,1,1 
840,144,130 
850,537,532 
860,825,826 
870,1111,1103 
880,1410,1396 
890,1721,1712 
900,2051,2047 
910,2326,2325 
920,2625,2621 
930,2927,2925 
940,3227,3225 
950,3509,3509 
960,3811,3807 
970,4070,4070 
