time,freemem@tsung_controller@ip-172-31-13-99 
0,376170.2265625 
10,376153.69140625 
20,376118.0390625 
30,376067.66015625 
40,375975.64453125 
50,375873.94921875 
60,375818.16015625 
70,375813.046875 
80,375781.78125 
90,375777.39453125 
100,375759.21484375 
110,375776.52734375 
120,375797.28125 
130,375788.984375 
140,375748.80859375 
150,375702.921875 
160,375659.9453125 
170,375616.40625 
180,375570.78125 
190,375551.40625 
200,375513.75390625 
210,375510.578125 
220,375554.54296875 
230,375585.859375 
240,375643.16015625 
250,375680.89453125 
260,375699.74609375 
270,375718.1484375 
280,375738.12109375 
290,375756.17578125 
300,375769.85546875 
310,375795.23046875 
320,375826.99609375 
330,375848.88671875 
340,375881.484375 
350,375921.84765625 
360,375948.7109375 
370,375959.65234375 
380,375980.98828125 
390,376012.15625 
400,376025.9375 
410,376027.1796875 
420,376029.34765625 
430,376046.6953125 
440,376046.87890625 
450,376046.90625 
460,376013.33984375 
470,375887.83984375 
480,375800.390625 
490,375721.7265625 
500,375645.328125 
510,375568.82421875 
520,375502.38671875 
530,375452.10546875 
540,375435.07421875 
550,375446.87109375 
560,375482.5703125 
570,375518.765625 
580,375549.6875 
590,375573.4921875 
600,375589.0 
610,375601.9375 
620,375616.12890625 
630,375622.2890625 
640,375626.015625 
650,375632.87109375 
660,375635.90625 
670,375643.44921875 
680,375653.390625 
690,375665.3515625 
700,375685.4375 
710,375692.21484375 
720,375701.1015625 
730,375711.0703125 
740,375722.90234375 
750,375741.04296875 
760,375747.31640625 
770,375766.734375 
780,375794.7578125 
790,375808.66796875 
800,375823.828125 
810,375900.10546875 
820,375981.796875 
830,376008.27734375 
840,376019.2265625 
850,375962.08203125 
860,375725.671875 
870,375571.2265625 
880,375386.7890625 
890,375206.70703125 
900,375045.37109375 
910,374909.94921875 
920,374726.18359375 
930,374597.6015625 
940,374450.875 
950,374317.51953125 
960,374157.80078125 
970,374000.36328125 
