time,load@tsung_controller@ip-172-31-13-99 
0,0.25 
10,0.25 
20,0.25 
30,0.25 
40,0.25 
50,0.25 
60,0.25 
70,0.30078125 
80,0.30078125 
90,0.4296875 
100,0.51953125 
110,0.51953125 
120,0.51953125 
130,0.51953125 
140,0.51953125 
150,0.51953125 
160,0.51953125 
170,0.51953125 
180,0.5390625 
190,0.69140625 
200,0.69140625 
210,0.80078125 
220,0.80078125 
230,0.87109375 
240,0.8984375 
250,0.98046875 
260,0.98046875 
270,1.01171875 
280,1.01953125 
290,1.01953125 
300,1.01953125 
310,1.01953125 
320,1.01953125 
330,1.01953125 
340,1.01953125 
350,1.01953125 
360,1.01953125 
370,1.01953125 
380,1.01953125 
390,1.01953125 
400,1.01953125 
410,1.01953125 
420,1.01953125 
430,1.01953125 
440,1.01953125 
450,1.01953125 
460,1.01953125 
470,1.01953125 
480,1.01953125 
490,1.01953125 
500,1.01953125 
510,1.01953125 
520,1.01953125 
530,1.01953125 
540,1.01953125 
550,1.01953125 
560,1.01953125 
570,1.01953125 
580,1.01953125 
590,1.01953125 
600,1.01953125 
610,1.01953125 
620,1.01953125 
630,1.01953125 
640,1.01953125 
650,1.01953125 
660,1.01953125 
670,1.01953125 
680,1.01953125 
690,1.01953125 
700,1.01953125 
710,1.01953125 
720,1.01953125 
730,1.01953125 
740,1.01953125 
750,1.01953125 
760,1.01953125 
770,1.01953125 
780,1.01953125 
790,1.01953125 
800,1.01953125 
810,1.01953125 
820,1.01953125 
830,1.01953125 
840,1.01953125 
850,1.01953125 
860,1.01953125 
870,1.01953125 
880,1.01953125 
890,1.01953125 
900,1.01953125 
910,1.01953125 
920,1.01953125 
930,1.01953125 
940,1.01953125 
950,1.01953125 
960,1.01953125 
970,1.01953125 
