time,connect,request 
0,8,53.1 
10,10.6,152.1 
20,10.1,220.3 
30,9.7,271.6 
40,8.3,325.5 
50,9,362.3 
60,10.7,391.2 
70,8.4,375.3 
80,8.6,391.5 
90,10.7,405.3 
100,8.5,401.6 
110,10.4,376.1 
120,11.2,393 
130,10.3,445 
140,9.5,395.6 
150,9,378.7 
160,8.8,414.2 
170,10.9,408.8 
180,9.6,432.6 
190,10.1,404.7 
200,1.8,312.2 
210,0,255.3 
220,0,189.5 
230,0,136.7 
240,0,81.4 
250,0,47.1 
260,0,21 
270,0,5.1 
280,0,1.4 
290,19.2,114.7 
300,18.3,336.6 
310,19.8,453.4 
320,20.1,568.1 
330,19.4,664.5 
340,19.3,710.3 
350,18.2,752.9 
360,19.2,774.5 
370,20.1,805.7 
380,21.6,784 
390,20.1,837.5 
400,18.1,837 
410,20.1,804.6 
420,22,796.5 
430,22.1,869.3 
440,18.2,878 
450,18,833.1 
460,19.3,798.1 
470,21.4,838.1 
480,20.1,862.2 
490,2.2,689.7 
500,0,493.8 
510,0,373.1 
520,0,269.6 
530,0,177.7 
540,0,82.8 
550,0,24.4 
560,0,13.9 
570,15.7,65 
580,39.6,469.7 
590,41.5,796.8 
600,40.2,1030.4 
610,40.4,1086 
620,41.5,1144.8 
630,38.8,1158.6 
640,40.5,1181.8 
650,39.7,1204.8 
660,37.6,1228.9 
670,39.8,1196.8 
680,36.1,1191.9 
690,38.3,1192.8 
700,36.2,1196.8 
710,37.8,1202.1 
720,41,1209.3 
730,38.9,1164.5 
740,39.7,1102.6 
750,37.3,1163.2 
760,40.4,1169.8 
770,25.1,1174.6 
780,0,1216.5 
790,0,1290.4 
800,0,1355.9 
810,0,1440.5 
820,0,1315.7 
830,0,1409.4 
840,0,1213.8 
850,0,714.5 
860,0,275 
870,0,66.8 
880,0,16.7 
890,0,3.1 
900,0,0.8 
910,68.1,458.3 
920,75.5,878 
930,76.7,958.9 
940,77.7,983.9 
950,80.3,980.3 
960,84.2,951.9 
970,71.1,971.3 
980,78.4,984.1 
990,72.5,984.5 
1000,73.4,1119.3 
1010,78.2,1710.4 
1020,77.4,2301.4 
1030,83.7,2960.2 
1040,72.5,3445.3 
1050,78.8,3634.9 
1060,85.6,3728.6 
1070,76.2,3700.2 
1080,78.1,3698 
1090,79.2,3670.6 
1100,76.4,3693.1 
1110,10.8,3216.1 
1120,0,2409 
1130,0,1918.9 
1140,0,1609 
1150,0,1558.3 
1160,0,1539.9 
1170,0,1494.1 
1180,0,1409.2 
1190,0,1379.9 
1200,0,1475.8 
1210,0,1882.3 
1220,0,1586.6 
1230,0,760.5 
1240,0,215.5 
1250,0,43.6 
1260,0,7.4 
1270,125.1,536.8 
1280,158,750.4 
1290,157.8,780.5 
1300,155.5,875.7 
1310,153.8,1360.4 
1320,163.6,2937.7 
1330,150.7,4451.7 
1340,156.7,5750.1 
1350,151,6370.7 
1360,153.4,6569.9 
1370,148.6,6675.1 
1380,148.8,6944.7 
1390,150.4,7245.8 
1400,152.6,7293.4 
1410,151.3,7066.6 
1420,148.9,6621.1 
1430,151.9,6382 
1440,155.2,6102.7 
1450,150.3,6103.1 
1460,159.6,6106.5 
1470,18.5,5337 
1480,0,3946.8 
1490,0,2860.7 
1500,0,2139.1 
1510,0,1611.5 
1520,0,1390.2 
1530,0,1354.3 
1540,0,1303.9 
1550,0,1326.4 
1560,0,1328.9 
1570,0,1549.8 
1580,0,1960.4 
1590,0,2262 
1600,0,1172 
1610,0,351.6 
1620,0,65.3 
1630,0,12.9 
1640,0,3.8 
1650,0,0.5 
1660,0,0.3 
1662,0,0.3 
