time,size_sent,size_rcv 
0,204.17265625,2224.540625 
10,631.5203125,6136.8453125 
20,929.22265625,8856.20390625 
30,1164.08828125,11126.065625 
40,1406.26640625,13554.97265625 
50,1577.03125,15134.45234375 
60,1712.765625,16501.78046875 
70,1645.2125,15636.21171875 
80,1723.153125,16476.909375 
90,1772.05,17252.01796875 
100,1765.94921875,16984.28125 
110,1646.93515625,15873.0234375 
120,1721.13203125,16823.0984375 
130,1956.66484375,18822.80546875 
140,1727.7,17134 
150,1662.540625,16384.35390625 
160,1823.13046875,17687.38515625 
170,1797.87265625,17571.584375 
180,1900.61640625,18815.87265625 
190,1770.6203125,17352.171875 
200,1389.74375,13817.0203125 
210,1156.9546875,10926.84765625 
220,862.628125,7909.7953125 
230,622.5421875,5481.43828125 
240,382.74453125,3087.82734375 
250,225.75546875,1771.8828125 
260,103.6859375,811.27421875 
270,24.84375,188.41171875 
280,6.62890625,54.08125 
290,440.8703125,5191.3 
300,1406.8796875,15677.34921875 
310,1937.84296875,20636.02265625 
320,2435.74140625,26020.06875 
330,2870.259375,29717.65703125 
340,3081.75859375,31253.17578125 
350,3286.6578125,32861.30234375 
360,3394.04296875,33756.85859375 
370,3536.9765625,34940.93046875 
380,3419.678125,34246.17890625 
390,3675.7375,36217.4484375 
400,3683.16796875,36358.61171875 
410,3530.48984375,34910.5796875 
420,3470.30859375,34963.16640625 
430,3811.33203125,37602.03515625 
440,3865.61640625,38108.19296875 
450,3663.5015625,36179.9125 
460,3497.2765625,34416.5046875 
470,3676.85390625,36208.73671875 
480,3787.1953125,37460.69765625 
490,3091.365625,29873.7484375 
500,2227.50625,21043.82265625 
510,1701.85390625,15280.60546875 
520,1239.5375,10571.8109375 
530,837.96171875,6690.7328125 
540,395.18359375,3131.171875 
550,118.56953125,898.0828125 
560,68.4015625,523.96484375 
570,231.97734375,2750.78359375 
580,1926.88828125,21682.10078125 
590,3371.375,36434.77109375 
600,4419.628125,46934.703125 
610,4715.5109375,48955.10234375 
620,5013.884375,50976.4125 
630,5046.94609375,51044.21875 
640,5226.25625,51636.26171875 
650,5299.665625,52349.19375 
660,5407.140625,53442.86328125 
670,5247.009375,52306.51875 
680,5214.14765625,52196.41953125 
690,5234.52578125,52053.54375 
700,5269.5734375,52257.6921875 
710,5303.7046875,52120.20625 
720,5310.82890625,52476.48828125 
730,5098.7,50998.12578125 
740,4870.3015625,47842.4625 
750,5125.31171875,50509.95390625 
760,5128.93046875,50843.5203125 
770,5127.3421875,51075.01796875 
780,5317.33125,53788.71328125 
790,5598.14453125,57478.240625 
800,5881.68515625,59395.43828125 
810,6296.67109375,59676.3609375 
820,5714.440625,56526.36875 
830,6044.68515625,57407.3953125 
840,5643.87265625,44498.1453125 
850,3410.7234375,25344.78515625 
860,1344.35625,10272.915625 
870,326.70078125,2573.68046875 
880,82.79609375,654.940625 
890,15.4375,118.8765625 
900,4.04453125,27.5484375 
910,1778.77890625,20200.971875 
920,3815.50859375,39389.528125 
930,4226.30234375,43028.6671875 
940,4312.315625,44025.303125 
950,4368.47890625,43876.8421875 
960,4209.7046875,42773.66328125 
970,4258.1484375,42766.9046875 
980,4347.446875,42840.8 
990,4289.83046875,41566.54765625 
1000,4827.228125,44185.53984375 
1010,7017.584375,46214.60390625 
1020,9456.99375,47444.52890625 
1030,12205.30390625,49940.77421875 
1040,14489.7609375,50958.815625 
1050,15294.35,51147.52421875 
1060,15717.3703125,49844.87890625 
1070,15718.31015625,50366.29765625 
1080,15700.69296875,48380.89140625 
1090,15628.05234375,48913.428125 
1100,15737.5359375,49090.0921875 
1110,14401.76875,48634.3859375 
1120,11038.65,48485.39296875 
1130,8854.5296875,50795.51875 
1140,7337.803125,52787.084375 
1150,6893.9421875,55093.321875 
1160,6920.8921875,56991.203125 
1170,6613.2328125,57299.42109375 
1180,6137.60546875,55037.22734375 
1190,5970.98671875,55602.77265625 
1200,6388.2328125,59325.409375 
1210,8148.0796875,70859.15390625 
1220,7436.3453125,56196.353125 
1230,3695.115625,27258.025 
1240,1055.72734375,8129.51171875 
1250,214.99296875,1716.49921875 
1260,36.95859375,293.6421875 
1270,2181.34765625,22156.975 
1280,3359.56484375,32094.79375 
1290,3517.64921875,33374.5015625 
1300,3839.3171875,35355.5390625 
1310,5371.1953125,38549.8921875 
1320,10949.7234375,42909.1953125 
1330,16981.703125,48112.8546875 
1340,22375.2390625,51888.8484375 
1350,24983.1875,53343.915625 
1360,25786.28203125,52777.465625 
1370,26151.55625,51849.54296875 
1380,27337.64375,52060.88125 
1390,29064.3578125,53283.7765625 
1400,29497.1921875,53470.94296875 
1410,28735.5265625,53821.15703125 
1420,27094.18125,53097.6859375 
1430,26182.37421875,52848.98984375 
1440,24833.81171875,51841.46171875 
1450,24792.96171875,51070.31875 
1460,24821.6515625,51060.86484375 
1470,23130.353125,49508.17734375 
1480,17847.61953125,47674.6296875 
1490,13160.85546875,45094.83828125 
1500,9908.8640625,47389.478125 
1510,7438.31875,47061.80390625 
1520,6230.93125,47181.0265625 
1530,6018.15078125,49302.99140625 
1540,5724.2625,49801.40390625 
1550,5752.34140625,51693.30078125 
1560,5808.78125,52433.9265625 
1570,6731.06953125,59359.66328125 
1580,8559.52421875,72210.8421875 
1590,10245.45859375,81282.578125 
1600,5665.39765625,41464.90078125 
1610,1731.553125,13281.56171875 
1620,321.66015625,2579.16796875 
1630,64.17421875,491.6234375 
1640,18.61875,162.5921875 
1650,2.3203125,14.18046875 
1660,1.690625,12.80859375 
1662,1.4390625,13.66328125 
