time,size_sent,size_rcv 
0,204.17265625,2224.540625 
10,835.69296875,8361.3859375 
20,1764.915625,17217.58984375 
30,2929.00390625,28343.65546875 
40,4335.2703125,41898.628125 
50,5912.3015625,57033.08046875 
60,7625.0671875,73534.8609375 
70,9270.2796875,89171.07265625 
80,10993.4328125,105647.98203125 
90,12765.4828125,122900 
100,14531.43203125,139884.28125 
110,16178.3671875,155757.3046875 
120,17899.49921875,172580.403125 
130,19856.1640625,191403.20859375 
140,21583.8640625,208537.20859375 
150,23246.4046875,224921.5625 
160,25069.53515625,242608.94765625 
170,26867.4078125,260180.53203125 
180,28768.02421875,278996.4046875 
190,30538.64453125,296348.5765625 
200,31928.38828125,310165.596875 
210,33085.34296875,321092.44453125 
220,33947.97109375,329002.23984375 
230,34570.51328125,334483.678125 
240,34953.2578125,337571.50546875 
250,35179.01328125,339343.38828125 
260,35282.69921875,340154.6625 
270,35307.54296875,340343.07421875 
280,35314.171875,340397.15546875 
290,35755.0421875,345588.45546875 
300,37161.921875,361265.8046875 
310,39099.76484375,381901.82734375 
320,41535.50625,407921.89609375 
330,44405.765625,437639.553125 
340,47487.52421875,468892.72890625 
350,50774.18203125,501754.03125 
360,54168.225,535510.88984375 
370,57705.2015625,570451.8203125 
380,61124.8796875,604697.99921875 
390,64800.6171875,640915.44765625 
400,68483.78515625,677274.059375 
410,72014.275,712184.6390625 
420,75484.58359375,747147.80546875 
430,79295.915625,784749.840625 
440,83161.53203125,822858.03359375 
450,86825.03359375,859037.94609375 
460,90322.31015625,893454.45078125 
470,93999.1640625,929663.1875 
480,97786.359375,967123.88515625 
490,100877.725,996997.63359375 
500,103105.23125,1018041.45625 
510,104807.08515625,1033322.06171875 
520,106046.62265625,1043893.87265625 
530,106884.584375,1050584.60546875 
540,107279.76796875,1053715.77734375 
550,107398.3375,1054613.86015625 
560,107466.7390625,1055137.825 
570,107698.71640625,1057888.60859375 
580,109625.6046875,1079570.709375 
590,112996.9796875,1116005.48046875 
600,117416.6078125,1162940.18359375 
610,122132.11875,1211895.2859375 
620,127146.003125,1262871.6984375 
630,132192.94921875,1313915.9171875 
640,137419.20546875,1365552.17890625 
650,142718.87109375,1417901.37265625 
660,148126.01171875,1471344.2359375 
670,153373.02109375,1523650.7546875 
680,158587.16875,1575847.17421875 
690,163821.69453125,1627900.71796875 
700,169091.26796875,1680158.41015625 
710,174394.97265625,1732278.61640625 
720,179705.8015625,1784755.1046875 
730,184804.5015625,1835753.23046875 
740,189674.803125,1883595.69296875 
750,194800.11484375,1934105.646875 
760,199929.0453125,1984949.1671875 
770,205056.3875,2036024.18515625 
780,210373.71875,2089812.8984375 
790,215971.86328125,2147291.1390625 
800,221853.5484375,2206686.57734375 
810,228150.21953125,2266362.93828125 
820,233864.66015625,2322889.30703125 
830,239909.3453125,2380296.70234375 
840,245553.21796875,2424794.84765625 
850,248963.94140625,2450139.6328125 
860,250308.29765625,2460412.5484375 
870,250634.9984375,2462986.22890625 
880,250717.79453125,2463641.16953125 
890,250733.23203125,2463760.04609375 
900,250737.2765625,2463787.59453125 
910,252516.05546875,2483988.56640625 
920,256331.5640625,2523378.09453125 
930,260557.86640625,2566406.76171875 
940,264870.18203125,2610432.06484375 
950,269238.6609375,2654308.90703125 
960,273448.365625,2697082.5703125 
970,277706.5140625,2739849.475 
980,282053.9609375,2782690.275 
990,286343.79140625,2824256.82265625 
1000,291171.01953125,2868442.3625 
1010,298188.60390625,2914656.96640625 
1020,307645.59765625,2962101.4953125 
1030,319850.9015625,3012042.26953125 
1040,334340.6625,3063001.08515625 
1050,349635.0125,3114148.609375 
1060,365352.3828125,3163993.48828125 
1070,381070.69296875,3214359.7859375 
1080,396771.3859375,3262740.67734375 
1090,412399.43828125,3311654.10546875 
1100,428136.97421875,3360744.19765625 
1110,442538.74296875,3409378.58359375 
1120,453577.39296875,3457863.9765625 
1130,462431.92265625,3508659.4953125 
1140,469769.72578125,3561446.5796875 
1150,476663.66796875,3616539.9015625 
1160,483584.56015625,3673531.1046875 
1170,490197.79296875,3730830.52578125 
1180,496335.3984375,3785867.753125 
1190,502306.38515625,3841470.52578125 
