time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
30,0,4698.644299558548,102.12693661897863,1781.2443252220116,9303.860503926793,1516.973359521452,3400.0350599984768 
40,4111.070275089919,5014.234484952091,98.76326011260234,1792.4931775828384,11305.509525477224,2926.000259628615,4087.740412730628 
50,2807.5275894189126,6105.537312294065,102.41885918997541,2518.773524390051,11077.437699192526,3113.7491733298307,4438.186714950894 
60,4180.15512376227,4990.8937923709545,103.9780188779749,2525.193493263368,11965.220574303552,3793.817139272563,4812.819707018468 
70,5807.940260610306,4965.5330650949245,103.71467574974123,2126.425264286996,13023.588571015063,4207.814809293573,4847.597448722413 
80,4586.4079386557805,6310.506152562211,102.79548119626503,2451.452473980309,11044.549298621347,4701.316690219464,4294.8510898098575 
90,5083.863330887373,5714.873343999416,102.16247192332851,2777.2137355998575,10735.776714481415,4065.8542286218644,4700.6240676385905 
100,4390.64135535105,4414.692753730022,105.17687316209303,2581.652385423849,10515.61967721644,2862.077191211627,3734.3043362384556 
110,6852.735147699443,5539.801655358373,103.41025782644162,3216.903049999955,9979.663249906998,3360.824114436591,4236.294747479318 
120,5315.799440423499,4363.484834405677,111.17902216865092,2925.7604616804383,10953.89341923542,4050.044101276345,4124.364466186475 
130,5895.413937629571,3092.4815764213326,113.83820513260994,2447.6099214664573,11507.760434480066,4436.43217199597,4102.597748999588 
140,5927.941063014069,5441.895225900255,111.65869913140943,3351.624250592742,10615.412695466292,3318.1625916870953,4886.8825085221415 
150,7544.629024689301,5324.3530567175285,110.89575368404608,2369.3647308522122,11828.985035138778,3452.2755459294267,4769.877504365086 
160,5662.6630132249,5890.983885320497,111.39974098400731,2203.994212068874,11935.289835996766,4400.77014191407,4447.609790540358 
170,7164.136410418247,4326.326861954843,108.35582358685863,3201.3895098165613,11619.162241409244,3410.9703670504086,3646.214244734304 
180,5152.352731066763,4111.218720343505,113.00763900703957,3233.8113141512845,11801.147319433048,3124.9935826315595,5102.69612632636 
190,4792.560248604055,4283.743947841198,110.69769233157629,2362.84064511945,9333.79617246652,2957.1174303604007,3241.491850994097 
200,4090.4202071965465,6167.3553476952,93.19159664618932,2509.0829386663786,10092.116596040527,3524.109367925816,4049.70312499643 
210,6168.239105457321,5260.929997347628,90.65948712218339,2045.8924345280366,7987.19435364684,4784.856578867951,4494.904559622528 
220,6532.173560233551,8847.093665547634,89.05781183193746,2867.8649885686837,5005.805868454798,3907.596319474198,5461.234700669127 
230,5408.147483200853,4883.798999999999,88.35864728345247,2863.2451708189938,9181.867513862913,3312.641789873258,4467.831826082647 
240,6330.914468931684,0,88.69847239227106,1981.2105889917093,228.8770000000004,3122.4791388985273,4249.385487765607 
250,5802.292161355553,0,88.958345620502,1940.0942566019344,0,3507.945447834528,279.3299999999999 
260,11264.842025499778,0,86.63378126531724,3712.5634630436543,0,484.3615000000009,0 
270,3961.5182770459046,0,76.48653163441521,8327.478385320266,0,0,0 
280,0.0,0,89.50629756090477,0.0,0,0,0 
290,0,450.032,116.04193455169057,5815.228999999999,1817.766188941662,0,0 
300,0,2733.998299831236,118.07749420831378,1489.8931505041512,3644.021041667965,0,0 
310,0,4205.98411891723,112.09310683493928,1651.7455745323525,7471.53718961722,271.05678274036165,2035.920547949581 
320,958.3420000000003,4428.7306198648885,109.8642901444066,2105.528301003305,9367.106670227686,2837.660210849225,3168.186078169504 
330,3449.310730949286,4210.998865137809,113.76105305411718,2155.3648358046335,10262.344558375786,2742.8276270665415,3505.251109320076 
340,4268.136064088911,4899.911146614248,106.36088707729249,2431.1983654556643,10758.281535509812,3156.6076304300614,4429.922289926288 
350,5053.329473287626,4409.042327755676,107.00446817223016,2440.4621280386928,11226.37959126552,3303.141621864189,5078.070947257541 
360,6087.630311735957,5894.9334832389795,107.41030063586693,2575.8174673739823,11383.116953678718,3722.8403918373224,5221.300077167208 
370,5215.1383612406,4774.642871351919,108.83614713170844,2509.7011115404734,11929.24761309239,3520.821813018032,3916.036498255567 
380,5551.896882644927,6140.863613378522,106.28327183382835,2569.320123898844,11182.682697738632,3564.8012192730707,3287.6546018780896 
390,6000.726802969908,5345.585288337525,106.66659079517864,2456.4682894219413,10851.610996134903,3671.3674289720316,3762.710444992506 
400,5658.639814793077,5457.16044680283,109.35890323990382,2890.105334810319,11557.813723070156,3858.5412116653342,5028.851200159725 
410,5021.071131806,5413.614599886443,105.5643014673311,2663.441104530665,11131.765015595762,3375.9343994262185,5281.182870331173 
420,5713.206434488148,5138.218611132494,107.93160684250883,2379.18307526785,12582.579353928046,2572.8064084392568,4598.230680986483 
430,4830.595034603137,4757.608377474007,109.67020266728929,2747.229090076951,11784.723222920158,3932.1933305267517,4463.70667334834 
440,5551.482341600671,4445.9721318924885,112.06226379256356,2411.21278011989,11480.19042707823,3889.5799053937785,4431.8227336653335 
450,5942.89786237303,5933.133792946082,107.48097062954116,2464.796172962617,10816.43226229884,3625.0687823750786,4833.419761676283 
460,5475.076863586615,5592.244577816642,106.90258990575703,2676.8128617481675,11328.044854656275,3168.736900661195,4190.936944013739 
470,6546.152636053733,6193.752386150195,110.93004160607546,2663.664503777065,12434.353043804156,3435.383865521108,3675.5129753563137 
480,5816.912212746043,4764.579005807138,105.7766972710643,2580.724046630344,10874.394897328448,2998.7161121016866,4824.085063941194 
490,5583.920606621245,6214.211494979983,102.46920025373976,2420.5092458842933,10613.545929967591,2974.5561724675013,4324.083507891657 
500,5723.363099159115,4518.460461452705,94.97891131964687,3116.139449032824,8058.3070433961775,3223.9122292667225,4712.131863380942 
510,5346.911947387189,7656.694088436438,89.28106162438256,2956.206241716219,6279.9389268701825,3662.056360859588,4627.159156107532 
520,4684.3065716645215,5619.284499999999,88.51004309206249,3004.1719657270382,4079.7192014390816,3469.7066080863196,3994.3984565200485 
530,5198.617685494076,0.0,88.84763790771136,2434.1871639738065,2207.210000000001,2488.1377088236313,3966.632448507755 
540,6267.381917046553,0,89.2042248900031,3333.115708486618,0,3469.568833963955,4858.005136981212 
550,5496.417225734152,0,88.70115981492312,2170.3548207530744,0,2852.767,0 
560,8093.695785387407,0,78.92952865998795,4487.353892153056,0,0,0 
570,0,0,116.33716421566473,2226.721679766667,750.7107897196867,0,0 
580,0,2267.497822153036,119.39052679282646,772.2219638434063,2273.9968821039006,0,0 
590,0,3412.892611374458,124.31317908551001,1613.7448527571962,5708.062063825529,0,1413.361781209322 
600,0.0,4786.041140523314,153.89710646223563,1906.2157942479685,7975.788501131693,2373.522135127299,2761.843254901008 
610,3112.4020974527816,5181.4886659519525,280.9957339659644,2586.351895273919,10187.715608493385,2698.5704547217947,3488.647858596387 
620,2878.877738292224,4560.773737219357,442.9711950422159,2005.7689459779394,10136.610777141816,3157.625321020393,3584.1993610828085 
630,4108.4652183752605,5605.714675480097,783.5209519614626,2282.9179234925323,10110.19960216927,2888.690991561539,3889.4971298660244 
640,5198.759682951526,5766.345104557054,912.2182432948298,2308.253789043464,10700.427392028247,3117.743066101736,4554.185643889432 
650,4682.995695756541,5200.660425641682,1146.7748583409582,2327.442496849482,10384.500221742375,3461.005432534628,3789.012313126081 
660,5181.463156642551,5125.993779850455,1347.1407457307996,2933.3975365538336,12162.869808513617,3771.3165190813143,4276.648575018918 
670,4864.605171076184,4929.668734510617,1543.5232512866512,2805.731309837462,11946.479622260335,3205.805994537819,4370.100925581395 
680,5901.379138405273,4860.2715040023795,1688.2427392386544,2827.581326412479,12487.18613834839,3409.2608301026357,4130.542813690948 
690,6242.328049476311,5700.603740616199,1870.3767686873668,3308.0385471234827,13217.170910527982,3440.8478922503064,4639.5471302813685 
700,7295.60039577397,5718.949964217936,2000.8725511815624,3453.178744562719,13562.225344469109,4651.553381654478,4774.614817447123 
710,6246.478263903267,6451.3829802463915,2247.035006239979,3696.8129771158747,14119.608847646907,3861.7053066929434,4635.093145756879 
720,5962.873762926692,6040.514237227712,2358.0749838341576,3736.677580141273,13960.697933523035,4252.007196599418,4738.104778106154 
730,5619.002635639769,5673.98406391783,2563.01966627061,3877.898710587536,15611.212266046714,4076.8731122848126,5705.372584335236 
740,5720.148309314649,5862.417284133661,2716.2675179227545,3901.4815686713573,15986.68575755598,5063.450632280873,4832.5701333372135 
750,7523.116734867533,5677.855514651111,2838.159456366231,3940.02269850726,17078.547928063945,4756.348809045943,5294.391750097351 
760,6590.1521761095755,6395.093022335015,2994.066675988724,3857.421590258972,17358.32270293005,5048.382251089719,5238.725019488099 
770,5811.448278520359,6071.331185973935,3094.0316677026303,4044.957710829132,17192.410427501738,4950.960782881857,5300.959379279116 
780,7331.341725567433,6482.297583916002,3279.351145705137,4111.829800843629,18132.383370076997,4620.016892966701,4824.623108902958 
790,7425.658682172176,6387.21267502258,3074.9338354436604,4158.034814092985,18379.858037156784,5520.7874974789,5800.259947269346 
800,7845.063721809987,6994.073662268918,2609.9702609360206,4040.9200168771085,17974.47844396273,5639.899039938582,5722.741424864221 
810,8563.408688172005,6678.451876411334,1974.4581986432747,4191.109318818824,12030.673942120586,4982.62263784844,5650.060136395293 
820,8201.313505357382,7281.99673006975,1510.016000852398,3135.709228982718,9673.558731075427,4338.027548228959,5955.591030939728 
830,6425.299828399278,7555.813445636247,725.4776666077,3526.1031092797325,8948.380166288114,4565.368515624711,4687.251244977302 
840,6491.746130770527,5775.064276575764,103.89150558542858,3022.5741940404814,5788.833046821469,4606.863609605672,5034.14406995766 
850,5962.502507945789,0.0,90.99880200068716,2763.74044214638,0,4758.157951771551,6878.573506732253 
860,6713.265609713311,0,84.94397391054804,2983.467881122039,0.0,3683.16939097413,6520.346124740233 
870,7374.014781789573,0,82.90585948661165,3458.0174014953654,0,2310.854991942863,0.0 
880,10642.28914123463,0,79.84276950133417,5074.620071529548,0,0,0 
890,11756.085,0,78.59019342082999,831.1558450212574,0,0,0 
900,0.0,0,88.34624115093976,0,0,0,0 
910,0,1584.0864414039631,135.03758514065092,1932.6533605222226,1738.6858900070565,0,0 
920,0,2883.1595390001535,535.9150767449166,1747.802915861868,3345.3127755994724,0,0 
930,0,3480.8344998828293,1083.7834399319315,2101.7800937699153,5153.421300464031,0,0.0 
940,0,4000.736042367733,1763.5209445316925,2208.1303381691255,6811.083383327978,0.0,2186.7995126649325 
950,0,4611.451105217655,2416.3521852066465,2920.0818861175385,8310.004642609509,0.0,3359.0552778693773 
