time,freemem@tsung_controller@ip-172-31-10-114 
0,380193.40234375 
10,380146.6640625 
20,380084.5234375 
30,380045.18359375 
40,379990.2265625 
50,379966.39453125 
60,379941.203125 
70,379929.7734375 
80,379915.85546875 
90,379901.39453125 
100,379869.96484375 
110,379861.484375 
120,379854.07421875 
130,379838.6015625 
140,379838.6015625 
150,379838.6015625 
160,379836.5625 
170,379836.5625 
180,379830.16015625 
190,379826.83203125 
200,379825.61328125 
210,379825.61328125 
220,379825.61328125 
230,379825.61328125 
240,379825.61328125 
250,379825.61328125 
260,379825.61328125 
270,379825.61328125 
280,379825.61328125 
290,379825.61328125 
300,379825.61328125 
310,379825.61328125 
320,379811.859375 
330,379738.40625 
340,379684.3671875 
350,379640.25 
360,379640.25 
370,379632.84375 
380,379632.38671875 
390,379608.07421875 
400,379590.12109375 
410,379590.12109375 
420,379590.12109375 
430,379585.484375 
440,379560.5703125 
450,379538.9765625 
460,379538.9765625 
470,379538.9765625 
480,379538.9765625 
490,379538.9765625 
500,379538.9765625 
510,379538.9765625 
520,379538.9765625 
530,379538.9765625 
540,379538.9765625 
550,379538.9765625 
560,379538.9765625 
570,379538.9765625 
580,379538.9765625 
590,379538.9765625 
600,379538.9765625 
610,379439.70703125 
620,379307.0078125 
630,379169.9375 
640,379029.4609375 
650,378967.59375 
660,378862.55078125 
670,378765.890625 
680,378687.4453125 
690,378593.7265625 
700,378520.22265625 
710,378461.25390625 
720,378381.96875 
730,378267.30078125 
740,378177.88671875 
750,378110.76953125 
760,377978.2265625 
770,377915.9765625 
780,377832.98046875 
790,377776.61328125 
800,377776.61328125 
810,377776.61328125 
820,377776.61328125 
830,377776.61328125 
840,377776.61328125 
850,377776.61328125 
860,377776.61328125 
870,377776.61328125 
880,377776.61328125 
890,377776.61328125 
900,377776.61328125 
910,377776.61328125 
920,377776.61328125 
930,377776.61328125 
940,377776.61328125 
950,377776.61328125 
960,377776.61328125 
970,377776.61328125 
980,377743.7734375 
990,377429.8046875 
1000,377136.14453125 
1010,376828.5546875 
1020,376628.76953125 
1030,376568.1875 
1040,376568.1875 
1050,376568.1875 
1060,376568.1875 
1070,376568.1875 
1080,376568.1875 
1090,376568.1875 
1100,376568.1875 
1110,376519.26171875 
1120,376509.9765625 
1130,376433.15234375 
1140,376339.73828125 
1150,376233.1796875 
1160,376199.0234375 
1170,376199.0234375 
1180,376199.0234375 
1190,376199.0234375 
1200,376199.0234375 
1210,376199.0234375 
1220,376199.0234375 
1230,376199.0234375 
1240,376199.0234375 
1250,376199.0234375 
1260,376199.0234375 
1270,376199.0234375 
1280,376199.0234375 
1290,376199.0234375 
1300,376199.0234375 
1310,376199.0234375 
1320,376199.0234375 
1330,376199.0234375 
1340,376199.0234375 
1350,376199.0234375 
1360,376199.0234375 
1370,376199.0234375 
1380,376199.0234375 
1390,376199.0234375 
1400,376199.0234375 
1410,376150.94140625 
1420,376081.30078125 
1430,376070.99609375 
1440,376070.99609375 
1450,376070.99609375 
1460,376070.99609375 
1470,376070.99609375 
1480,376070.99609375 
1490,376070.99609375 
1500,376070.99609375 
1510,376070.99609375 
1520,376070.99609375 
1530,376070.99609375 
1540,375973.2109375 
1550,375934.171875 
1560,375934.171875 
1570,375934.171875 
1580,375934.171875 
1590,375934.171875 
1600,375934.171875 
1610,375934.171875 
1620,375934.171875 
1630,375934.171875 
1640,375934.171875 
1650,375934.171875 
1660,375934.171875 
