time,load@tsung_controller@ip-172-31-10-114 
0,0.0703125 
10,0.05859375 
20,0.12890625 
30,0.109375 
40,0.08984375 
50,0.1484375 
60,0.2109375 
70,0.171875 
80,0.30078125 
90,0.25 
100,0.6796875 
110,0.578125 
120,0.48828125 
130,0.41015625 
140,0.4296875 
150,0.44140625 
160,0.37890625 
170,0.62890625 
180,0.53125 
190,0.44921875 
200,0.37890625 
210,0.3984375 
220,0.421875 
230,0.3515625 
240,0.30078125 
250,0.25 
260,0.2109375 
270,0.1796875 
280,0.1484375 
290,0.12890625 
300,0.109375 
310,0.25 
320,0.2109375 
330,0.25 
340,0.2109375 
350,0.328125 
360,0.359375 
370,0.30078125 
380,0.26171875 
390,0.21875 
400,0.1796875 
410,0.23046875 
420,0.33984375 
430,0.37109375 
440,0.46875 
450,0.46875 
460,0.3984375 
470,0.5 
480,0.5703125 
490,0.55859375 
500,0.7890625 
510,0.75 
520,0.62890625 
530,0.5390625 
540,0.44921875 
550,0.37890625 
560,0.3203125 
570,0.26953125 
580,0.23046875 
590,0.26953125 
600,0.23046875 
610,0.4296875 
620,0.51953125 
630,0.51953125 
640,0.51953125 
650,0.44140625 
660,0.51953125 
670,0.44140625 
680,0.37109375 
690,0.69140625 
700,0.73828125 
710,0.78125 
720,0.80859375 
730,0.6796875 
740,0.578125 
750,0.87890625 
760,1.05078125 
770,1.12109375 
780,0.94140625 
790,1.0390625 
800,0.87890625 
810,0.8203125 
820,0.859375 
830,0.73046875 
840,0.69140625 
850,1.109375 
860,1.171875 
870,0.98828125 
880,0.83984375 
890,0.8515625 
900,0.71875 
910,0.609375 
920,0.6796875 
930,0.5703125 
940,0.7890625 
950,0.91015625 
960,0.921875 
970,0.78125 
980,0.66015625 
990,0.640625 
1000,0.69140625 
1010,0.671875 
1020,0.87109375 
1030,1.359375 
1040,1.53125 
1050,1.51953125 
1060,1.51953125 
1070,1.91015625 
1080,2.078125 
1090,1.921875 
1100,1.9296875 
1110,2.01953125 
1120,2.23828125 
1130,2.21875 
1140,2.26953125 
1150,2.21875 
1160,1.87890625 
1170,1.66015625 
1180,1.6484375 
1190,1.7109375 
1200,1.51953125 
1210,1.66015625 
1220,1.71875 
1230,1.44921875 
1240,1.30859375 
1250,1.109375 
1260,0.94140625 
1270,0.7890625 
1280,0.828125 
1290,0.69921875 
1300,0.671875 
1310,0.80078125 
1320,0.98046875 
1330,1.2890625 
1340,1.7890625 
1350,2.359375 
1360,2.69140625 
1370,3.12109375 
1380,3.01953125 
1390,3.33984375 
1400,3.6796875 
1410,3.80078125 
1420,3.921875 
1430,3.7890625 
1440,3.96875 
1450,4.05078125 
1460,4.19921875 
1470,3.76953125 
1480,4.0390625 
1490,3.87890625 
1500,3.66015625 
1510,3.41015625 
1520,2.94921875 
1530,2.6484375 
1540,2.3203125 
1550,2.1796875 
1560,2.1484375 
1570,1.8984375 
1580,1.6796875 
1590,1.890625 
1600,1.8984375 
1610,1.9296875 
1620,1.62890625 
1630,1.37890625 
1640,1.171875 
1650,0.98828125 
1660,0.828125 
