time,connect,request 
0,7.7,46.4 
10,9.6,138 
20,10.9,233.9 
30,10.8,287.2 
40,8.2,347.2 
50,11.4,369.3 
60,10.7,403.8 
70,9.1,410.7 
80,10.1,411.9 
90,9.5,415.1 
100,9.7,420.1 
110,10,405 
120,9.6,407.7 
130,10.3,412.6 
140,9.2,394.2 
150,9.6,405.5 
160,11.6,414.1 
170,9.2,455.8 
180,10.4,417.3 
190,7.5,404.5 
200,2,355.6 
210,0,249.7 
220,0,167.1 
230,0,108.1 
240,0,62.9 
250,0,31.6 
260,0,15.5 
270,0,4.2 
280,7.3,29.3 
290,22.3,238.5 
300,18.6,412.6 
310,19.9,501.7 
320,19.3,609.2 
330,23.1,729.1 
340,18.5,779 
350,22.1,821.1 
360,21.6,910.9 
370,21.3,865.9 
380,20,863.8 
390,17.5,818.8 
400,17.8,812.1 
410,19.4,802.8 
420,19.4,806.2 
430,19.8,805.1 
440,19.8,812.9 
450,22.3,807.4 
460,20.8,826.8 
470,19.9,857 
480,9.3,780.6 
490,0,594 
500,0,446.6 
510,0,323.7 
520,0,180.2 
530,0,118.6 
540,0,43.4 
550,0,15.1 
560,0,7 
570,0,1.7 
580,31.6,208.5 
590,39.5,607.7 
600,38.4,864.7 
610,42.1,1040.3 
620,40.5,1158.5 
630,40.5,1283 
640,38.7,1354.3 
650,40.2,1373.1 
660,41,1388.1 
670,37.8,1444.6 
680,37.2,1455.1 
690,44.3,1391.9 
700,39.3,1469.6 
710,39.1,1371.2 
720,38,1390 
730,37.4,1406.9 
740,36.8,1321.6 
750,38.7,1390.9 
760,43,1386.1 
770,40,1362.7 
780,7.4,1386.1 
790,0,1321.4 
800,0,1319.1 
810,0,1393.9 
820,0,1171.3 
830,0,767.3 
840,0,390.2 
850,0,149.4 
860,0,38.1 
870,0,13.9 
880,0,2.3 
890,71.6,445.3 
900,79.1,1020.6 
910,80.2,1215.3 
920,73.6,1197 
930,77.1,1286.8 
940,77.2,1326.5 
950,78,1419.1 
960,76.5,1479.8 
970,81.3,1491 
980,76.4,1551.7 
990,74.7,1593 
1000,76.6,1673.8 
1010,79.4,1720.1 
1020,75.9,1783.5 
1030,76.8,1841.3 
1040,76.7,1888.4 
1050,78.9,1910.9 
1060,80.6,1949.1 
1070,78.4,1991.5 
1080,85.5,2071.3 
1090,13.2,2158.5 
1100,0,2095.3 
1110,0,2105.6 
1120,0,2102.3 
1130,0,2033.4 
1140,0,2044.7 
1150,0,2112.2 
1160,0,2181.8 
1170,0,2064.3 
1180,0,1836.3 
1190,0,1718.5 
1200,0,1671.8 
1210,0,1853.3 
1220,0,2211.6 
1230,0,3148.3 
1240,0,2084.6 
1250,0,815.9 
1260,0,197 
1270,0,26.5 
1280,0,4.6 
1290,52,191.4 
1300,152.2,1174 
1310,149.7,1267.6 
1320,166.7,1257.3 
1330,155.8,1375.7 
1340,158.5,1551.4 
1350,150.6,1638.7 
1360,157.1,1762.9 
1370,157.3,1905.8 
1380,154.9,2457.1 
1390,153.1,3862.2 
1400,148.5,5152.1 
1410,144.9,6275.9 
1420,139.2,6896.2 
1430,143.4,7115.2 
1440,143,7117.6 
1450,143.2,6943.2 
1460,145.4,6895.9 
1470,145.1,6916.9 
1480,145.5,6915.4 
1490,90.7,6282.2 
1500,0,5269.2 
1510,0,3943.5 
1520,0,3108 
1530,0,2647.6 
1540,0,2514.7 
1550,0,2441.9 
1560,0,2312 
1570,0,2263.7 
1580,0,2118 
1590,0,2076 
1600,0,2131.5 
1610,0,2572.2 
1620,0,3206.1 
1630,0,1946 
1640,0,718.9 
1650,0,155.6 
1660,0,28.9 
1670,0,3.5 
1676,0,1.4 
