time,users,connected 
0,79,77 
10,163,84 
20,244,79 
30,297,54 
40,315,19 
50,369,51 
60,395,27 
70,395,-7 
80,395,-9 
90,395,12 
100,395,2 
110,395,-4 
120,395,-3 
130,395,-4 
140,395,0 
150,395,1 
160,404,21 
170,413,-22 
180,413,7 
190,413,-29 
200,413,-83 
210,413,-88 
220,413,-56 
230,413,-46 
240,413,-39 
250,413,-25 
260,413,-12 
270,413,-5 
280,413,71 
290,413,213 
300,413,107 
310,512,112 
320,616,106 
330,734,120 
340,763,21 
350,804,49 
360,827,14 
370,832,-6 
380,832,-18 
390,832,-29 
400,832,-30 
410,832,10 
420,832,1 
430,832,-3 
440,832,-10 
450,832,43 
460,832,16 
470,832,0 
480,832,-94 
490,832,-193 
500,832,-153 
510,832,-117 
520,832,-89 
530,832,-77 
540,832,-41 
550,832,-16 
560,832,-7 
570,832,-2 
580,832,314 
590,832,330 
600,884,233 
610,1155,272 
620,1419,264 
630,1642,219 
640,1797,161 
650,1952,155 
660,2080,124 
670,2174,97 
680,2269,96 
690,2426,151 
700,2498,80 
710,2628,131 
720,2722,87 
730,2783,68 
740,2893,93 
750,2974,91 
760,3090,123 
770,3218,121 
780,3239,-257 
790,3239,-328 
800,3239,-379 
810,3239,-586 
820,3239,-805 
830,3239,-350 
840,3239,-287 
850,3239,-156 
860,3239,-45 
870,3239,-13 
880,3239,-4 
890,3239,715 
900,3239,762 
910,3239,750 
920,3239,651 
930,3575,689 
940,4261,688 
950,4952,690 
960,5623,675 
970,6305,679 
980,6927,625 
990,7512,567 
1000,8122,606 
1010,8705,589 
1020,9228,528 
1030,9791,552 
1040,10304,511 
1050,10818,518 
1060,11360,541 
1070,11841,490 
1080,12388,549 
1090,12467,-218 
1100,12467,-335 
1110,12467,-363 
1120,12467,-401 
1130,12467,-410 
1140,12467,-435 
1150,12467,-526 
1160,12467,-540 
1170,12467,-524 
1180,12467,-583 
1190,12467,-717 
1200,12467,-765 
1210,12467,-863 
1220,12467,-1027 
1230,12467,-1891 
1240,12467,-1544 
1250,12467,-917 
1260,12467,-272 
1270,12467,-35 
1280,12467,-8 
1290,12467,519 
1300,12467,1518 
1310,12467,1488 
1320,12467,1651 
1330,12467,1517 
1340,12467,1542 
1350,12467,1478 
1360,12467,1531 
1370,12808,1529 
1380,14282,1477 
1390,15578,1299 
1400,16623,1057 
1410,17346,728 
1420,17681,327 
1430,17776,66 
1440,17776,-67 
1450,17776,-58 
1460,17776,-28 
1470,17776,-2 
1480,17776,-50 
1490,17776,-536 
1500,17776,-1311 
1510,17776,-1045 
1520,17776,-911 
1530,17776,-831 
1540,17776,-873 
1550,17776,-910 
1560,17776,-1030 
1570,17776,-1087 
1580,17776,-998 
1590,17776,-1021 
1600,17776,-1079 
1610,17776,-1320 
1620,17776,-2036 
1630,17776,-1481 
1640,17776,-802 
1650,17776,-201 
1660,17776,-42 
1670,17776,-7 
1676,17776,-2 
