time,users_count,finish_users_count 
0,7.9,0 
10,9.7,1.3 
20,11,3 
30,10.9,5.5 
40,8,6.3 
50,11.6,6.1 
60,10.4,8.2 
70,9.4,10.2 
80,10.3,10.4 
90,9,8.5 
100,9.5,9.7 
110,10.1,10.3 
120,9.9,9.9 
130,10,10.5 
140,9.5,9.1 
150,9.6,9.7 
160,11.3,9.6 
170,9.3,11.1 
180,10.4,10 
190,7.4,10.3 
200,1.9,10.2 
210,0,8.7 
220,0,5.6 
230,0,4.6 
240,0,4 
250,0,2.4 
260,0,1.2 
270,0,0.5 
280,8.5,0.2 
290,21.7,1.2 
300,18.9,7.8 
310,19.9,8.9 
320,19.1,8.9 
330,23,11 
340,19,16.3 
350,21.6,17.7 
360,21.4,19.9 
370,21.6,22.4 
380,19.6,21.1 
390,17.4,20.3 
400,18,20.8 
410,19.2,18.5 
420,19.6,19.4 
430,19.6,19.9 
440,19.7,20.6 
450,22.3,18.1 
460,20.8,19.3 
470,19.8,19.7 
480,9.3,18.7 
490,0,20.4 
500,0,14.7 
510,0,11.8 
520,0,8.5 
530,0,7.6 
540,0,4.1 
550,0,1.5 
560,0,0.7 
570,0,0.2 
580,32.8,0.2 
590,39.4,6.6 
600,38.2,15.2 
610,42.2,15.1 
620,40.5,14.1 
630,40.9,18.6 
640,38.2,22.9 
650,40.1,24.5 
660,40.7,28.5 
670,38,27.9 
680,37.1,27.8 
690,44.2,29.2 
700,39.2,31.1 
710,38.9,25.9 
720,37.8,29.4 
730,37.4,30.4 
740,39.9,28.8 
750,36.8,29.9 
760,42.9,30.4 
770,41.1,28 
780,5.2,32.8 
790,0,33.2 
800,0,38.1 
810,0,58.8 
820,0,80.4 
830,0,34.1 
840,0,28.4 
850,0,15.3 
860,0,4.3 
870,0,1.3 
880,0,0.3 
890,73.5,0.2 
900,78.9,2.8 
910,79.1,5.4 
920,74.4,8.4 
930,76.9,8.5 
940,76.7,8.1 
950,78.1,9 
960,76.2,9.1 
970,81.4,13.2 
980,76.1,13.9 
990,77.7,19.2 
1000,76.8,15.9 
1010,79.3,20.9 
1020,75,22.9 
1030,77,20.5 
1040,77.9,26.6 
1050,77.9,26.5 
1060,80.9,26.7 
1070,77.4,29.3 
1080,85.3,30.6 
1090,11.2,36 
1100,0,33 
1110,0,36.6 
1120,0,39.5 
1130,0,40.6 
1140,0,43.5 
1150,0,52.9 
1160,0,53.7 
1170,0,52.5 
1180,0,58.5 
1190,0,71.4 
1200,0,76.4 
1210,0,86.5 
1220,0,102.3 
1230,0,189.4 
1240,0,161.1 
1250,0,86.7 
1260,0,25.3 
1270,0,3.3 
1280,0,0.7 
1290,57.8,0.1 
1300,152.7,0.5 
1310,150.9,0.8 
1320,163,1.7 
1330,158.3,4.1 
1340,156.2,4.4 
1350,151,2.7 
1360,157.8,3.9 
1370,155.7,4.5 
1380,155.2,7.8 
1390,152.2,22.6 
1400,148.4,44 
1410,144.5,72.3 
1420,138.6,106.3 
1430,143,136.6 
1440,143.2,149.7 
1450,142.1,149.3 
1460,145.4,147.4 
1470,145.2,145.1 
1480,145,150.4 
1490,90.6,151.9 
1500,0,126.9 
1510,0,106.3 
1520,0,89.9 
1530,0,82.7 
1540,0,87.1 
1550,0,91.2 
1560,0,101.6 
1570,0,109.6 
1580,0,99.7 
1590,0,102.3 
1600,0,107.4 
1610,0,133.9 
1620,0,203.5 
1630,0,145.6 
1640,0,78.6 
1650,0,19.6 
1660,0,4 
1670,0,0.7 
1676,0,0.2 
