time,freemem@tsung_controller@ip-172-31-5-155 
0,380186.0390625 
10,380137.08203125 
20,380081.1015625 
30,380024.484375 
40,379975.36328125 
50,379950.4140625 
60,379902.03515625 
70,379877.4453125 
80,379877.1171875 
90,379852.53125 
100,379861.61328125 
110,379860.37890625 
120,379851.7109375 
130,379873.109375 
140,379878.61328125 
150,379881.78125 
160,379875.00390625 
170,379857.78515625 
180,379851.6015625 
190,379841.6015625 
200,379861.953125 
210,379900.18359375 
220,379963.859375 
230,380006.6875 
240,380045.4453125 
250,380086.56640625 
260,380117.1484375 
270,380122.0703125 
280,380125.84765625 
290,380101.01953125 
300,379966.99609375 
310,379869.3125 
320,379785.65625 
330,379702.54296875 
340,379662.0703125 
350,379630.8984375 
360,379572.859375 
370,379545.6328125 
380,379540.99609375 
390,379533.41796875 
400,379552.06640625 
410,379573.92578125 
420,379570.03515625 
430,379577.87109375 
440,379587.90625 
450,379575.20703125 
460,379567.62890625 
470,379567.36328125 
480,379567.2421875 
490,379590.2734375 
500,379714.453125 
510,379792.71875 
520,379867.921875 
530,379937.34375 
540,380030.25 
550,380081.66796875 
560,380103.47265625 
570,380107.4375 
580,380107.921875 
590,379906.46875 
600,379715.515625 
610,379549.01953125 
620,379381.7578125 
630,379227.23828125 
640,379079.26171875 
650,378949.265625 
660,378897.890625 
670,378849.2421875 
680,378766.48046875 
690,378702.828125 
700,378600.828125 
710,378576.0390625 
720,378528.64453125 
730,378497.5625 
740,378459.25 
750,378419.6015625 
760,378384.953125 
770,378309.12109375 
780,378221.3984375 
790,378233.27734375 
800,378313.5546875 
810,378480.76953125 
820,378726.26171875 
830,379058.06640625 
840,379410.98828125 
850,379808.78125 
860,379958.609375 
870,380018.57421875 
880,380024.59375 
890,380029.87109375 
900,379706.0546875 
910,379332.796875 
920,378941.16015625 
930,378594.15625 
940,378265.1796875 
950,377907.55078125 
960,377595.046875 
970,377293.84765625 
980,376968.00390625 
990,376696.63671875 
1000,376398.1328125 
1010,376129.2421875 
1020,375940.08203125 
1030,375686.109375 
1040,375432.9140625 
1050,375185.98046875 
1060,374983.40234375 
1070,374806.5546875 
1080,374552.6875 
1090,374313.01171875 
1100,374074.23828125 
1110,373973.59375 
1120,373908.69140625 
1130,373897.18359375 
1140,373869.0703125 
1150,373955.109375 
1160,374052.609375 
1170,374152.65625 
1180,374209.69140625 
1190,374443.796875 
1200,374567.3125 
1210,374686.11328125 
1220,374889.07421875 
1230,375210.99609375 
1240,376052.27734375 
1250,378064.234375 
1260,379487.79296875 
1270,379921.24609375 
1280,379940.5 
1290,379957.0859375 
1300,379747.40234375 
1310,379092.96875 
1320,378513.59375 
1330,377921.7265625 
1340,377279.19921875 
1350,376611.36328125 
1360,376001.16015625 
1370,375369.453125 
1380,374850.21484375 
1390,374404.265625 
1400,374193.56640625 
1410,374206.4453125 
1420,374233.81640625 
1430,374131.46484375 
1440,374009.26171875 
1450,373884.37109375 
1460,373739.34765625 
1470,373583.3515625 
1480,373415.59375 
1490,373207.5625 
1500,373110.97265625 
1510,373095.44921875 
1520,373309.5625 
1530,373307.45703125 
1540,373203.359375 
1550,373350.2265625 
1560,373397.07421875 
1570,373634.90234375 
1580,373770.7265625 
1590,373861.4296875 
1600,374167.94140625 
1610,374462.7109375 
1620,374989.7578125 
1630,376230.98828125 
1640,378272.97265625 
1650,379531.73828125 
1660,379810.13671875 
1670,379848.6015625 
1676,379860.04296875 
