time,load@tsung_controller@ip-172-31-5-155 
0,0.08984375 
10,0.08984375 
20,0.08984375 
30,0.08984375 
40,0.08984375 
50,0.08984375 
60,0.08984375 
70,0.08984375 
80,0.08984375 
90,0.1796875 
100,0.37890625 
110,0.390625 
120,0.640625 
130,0.76953125 
140,0.80859375 
150,0.8984375 
160,0.8984375 
170,0.8984375 
180,0.8984375 
190,0.8984375 
200,0.8984375 
210,0.8984375 
220,0.8984375 
230,0.8984375 
240,0.8984375 
250,0.8984375 
260,0.8984375 
270,0.8984375 
280,0.8984375 
290,0.8984375 
300,0.8984375 
310,0.8984375 
320,0.8984375 
330,0.8984375 
340,0.8984375 
350,0.8984375 
360,0.8984375 
370,0.8984375 
380,0.8984375 
390,0.8984375 
400,0.8984375 
410,0.8984375 
420,0.8984375 
430,0.8984375 
440,0.8984375 
450,0.8984375 
460,0.9296875 
470,0.9296875 
480,0.9296875 
490,0.9296875 
500,0.9296875 
510,0.9296875 
520,0.9296875 
530,0.9296875 
540,0.9296875 
550,0.9296875 
560,0.9296875 
570,0.9296875 
580,0.9296875 
590,0.9296875 
600,0.9296875 
610,0.9296875 
620,0.9296875 
630,0.9296875 
640,1.0703125 
650,1.0703125 
660,1.140625 
670,1.140625 
680,1.140625 
690,1.140625 
700,1.140625 
710,1.140625 
720,1.140625 
730,1.140625 
740,1.140625 
750,1.140625 
760,1.140625 
770,1.140625 
780,1.140625 
790,1.140625 
800,1.25 
810,1.25 
820,1.328125 
830,1.3515625 
840,1.3515625 
850,1.3515625 
860,1.3515625 
870,1.3515625 
880,1.3515625 
890,1.3515625 
900,1.3515625 
910,1.3515625 
920,1.3515625 
930,1.3515625 
940,1.3515625 
950,1.3515625 
960,1.3515625 
970,1.3515625 
980,1.3515625 
990,1.51171875 
1000,1.66015625 
1010,1.66015625 
1020,1.66015625 
1030,1.66015625 
1040,1.66015625 
1050,1.66015625 
1060,1.66015625 
1070,1.66015625 
1080,1.7109375 
1090,1.7109375 
1100,1.7109375 
1110,1.7109375 
1120,1.7109375 
1130,1.7109375 
1140,1.7109375 
1150,1.7109375 
1160,1.80078125 
1170,1.83984375 
1180,2.171875 
1190,2.171875 
1200,2.21875 
1210,2.421875 
1220,2.671875 
1230,2.671875 
1240,2.671875 
1250,2.671875 
1260,2.671875 
1270,2.671875 
1280,2.671875 
1290,2.671875 
1300,2.671875 
1310,2.671875 
1320,2.671875 
1330,2.671875 
1340,2.671875 
1350,2.671875 
1360,2.671875 
1370,2.671875 
1380,2.671875 
1390,2.671875 
1400,2.671875 
1410,2.671875 
1420,2.671875 
1430,2.671875 
1440,2.671875 
1450,2.671875 
1460,2.8984375 
1470,3.1484375 
1480,3.58984375 
1490,3.87890625 
1500,4.19921875 
1510,4.3203125 
1520,4.3203125 
1530,4.3203125 
1540,4.3203125 
1550,4.3203125 
1560,4.3203125 
1570,4.3203125 
1580,4.3203125 
1590,4.3203125 
1600,4.3203125 
1610,4.3203125 
1620,4.3203125 
1630,4.3203125 
1640,4.3203125 
1650,4.3203125 
1660,4.3203125 
1670,4.3203125 
1676,4.3203125 
