time,connect,request 
0,0.895,3.927 
10,0.684,3.056 
20,0.684,2.916 
30,0.555,2.57 
40,0.555,2.421 
50,0.555,2.403 
60,0.555,2.403 
70,0.555,2.403 
80,0.555,2.403 
90,0.555,2.331 
100,0.555,2.331 
110,0.555,2.331 
120,0.555,2.331 
130,0.555,2.331 
140,0.555,2.331 
150,0.551,2.331 
160,0.551,2.331 
170,0.551,2.331 
180,0.551,2.331 
190,0.551,2.331 
200,0.551,2.331 
210,0.551,2.331 
220,0.551,2.331 
230,0.551,2.331 
240,0.551,2.331 
250,0.551,2.331 
260,0.551,2.331 
270,0.551,2.331 
280,0.551,2.331 
290,0.551,2.331 
300,0.551,2.331 
310,0.551,2.331 
320,0.551,2.331 
330,0.551,2.288 
340,0.551,2.288 
350,0.551,2.288 
360,0.551,2.288 
370,0.551,2.288 
380,0.551,2.288 
390,0.551,2.288 
400,0.551,2.288 
410,0.551,2.288 
420,0.551,2.288 
430,0.551,2.288 
440,0.551,2.288 
450,0.551,2.288 
460,0.551,2.261 
470,0.551,2.261 
480,0.551,2.261 
490,0.551,2.261 
500,0.551,2.261 
510,0.551,2.261 
520,0.551,2.261 
530,0.551,2.261 
540,0.551,2.261 
550,0.551,2.261 
560,0.551,2.261 
570,0.513,2.261 
580,0.511,2.261 
590,0.489,2.261 
600,0.486,2.261 
610,0.486,2.261 
620,0.486,2.261 
630,0.486,2.261 
640,0.486,2.261 
650,0.486,2.261 
660,0.464,2.261 
670,0.464,2.261 
680,0.464,2.261 
690,0.438,2.261 
700,0.438,2.261 
710,0.438,2.261 
720,0.438,2.261 
730,0.438,2.261 
740,0.438,2.261 
750,0.438,2.261 
760,0.438,2.261 
770,0.438,2.261 
780,0.438,2.261 
790,0.438,2.261 
800,0.438,2.261 
810,0.438,2.261 
820,0.438,2.261 
830,0.438,2.261 
840,0.438,2.261 
850,0.438,2.261 
860,0.438,2.261 
870,0.438,2.261 
880,0.438,2.261 
890,0.438,2.261 
900,0.438,2.261 
910,0.438,2.261 
920,0.438,2.261 
930,0.438,2.261 
940,0.438,2.261 
950,0.438,2.261 
960,0.438,2.261 
970,0.438,2.261 
980,0.408,2.261 
990,0.408,2.261 
1000,0.408,0.413 
1010,0.408,0.386 
1020,0.346,0.365 
1030,0.346,0.365 
1040,0.319,0.361 
1050,0.319,0.36 
1060,0.319,0.352 
1070,0.319,0.352 
1080,0.319,0.352 
1090,0.319,0.352 
1100,0.319,0.352 
1110,0.319,0.352 
1120,0.319,0.352 
1130,0.319,0.352 
1140,0.319,0.352 
1150,0.319,0.352 
1160,0.319,0.352 
1170,0.319,0.352 
1180,0.319,0.352 
1190,0.319,0.352 
1200,0.319,0.352 
1210,0.319,0.352 
1220,0.319,0.352 
1230,0.319,0.352 
1240,0.319,0.352 
1250,0.319,0.352 
1260,0.319,0.352 
1270,0.319,0.352 
1280,0.319,0.352 
1290,0.319,0.352 
1300,0.319,0.352 
1310,0.319,0.352 
1320,0.319,0.352 
1330,0.319,0.339 
1340,0.319,0.339 
1350,0.319,0.339 
1360,0.319,0.339 
1370,0.319,0.339 
1380,0.319,0.339 
1390,0.319,0.339 
1400,0.319,0.339 
1410,0.319,0.339 
1420,0.319,0.339 
1430,0.319,0.339 
1440,0.319,0.339 
1450,0.319,0.339 
1460,0.319,0.339 
1470,0.319,0.339 
1480,0.319,0.339 
1490,0.319,0.339 
1500,0.319,0.339 
1510,0.319,0.339 
1520,0.319,0.339 
1530,0.319,0.339 
1540,0.319,0.339 
1550,0.319,0.339 
1560,0.319,0.339 
1570,0.319,0.339 
1580,0.319,0.339 
1590,0.319,0.339 
1600,0.319,0.339 
1610,0.319,0.339 
1620,0.319,0.339 
1630,0.319,0.339 
1640,0.319,0.339 
1650,0.319,0.339 
1660,0.319,0.339 
1662,0.319,0.339 
