time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
30,9860.164,840.512,6.678,449.735,728.384,1272.891,2659.234 
40,2527.627,840.512,6.398,430.16,728.384,1272.891,2659.234 
50,2212.264,794.1,5.963,420.79,647.271,1272.891,1910.189 
60,1967.424,794.1,5.889,420.79,647.271,898.697,1910.189 
70,1507.895,794.1,5.889,420.79,647.271,898.697,1910.189 
80,1507.895,794.1,5.864,420.79,647.271,898.697,1910.189 
90,1507.895,794.1,5.864,420.79,647.271,898.697,1910.189 
100,1507.895,770.781,5.864,420.79,647.271,898.697,1910.189 
110,1507.895,770.781,5.864,420.79,647.271,898.697,1910.189 
120,1507.895,770.781,5.864,420.79,647.271,898.697,1910.189 
130,1507.895,770.781,5.864,420.79,647.271,898.697,1910.189 
140,1507.895,770.781,5.864,420.79,647.271,898.697,1910.189 
150,1507.895,770.781,5.754,420.79,647.271,898.697,1910.189 
160,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
170,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
180,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
190,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
200,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
210,1507.895,632.997,5.754,420.79,647.271,898.697,1184.09 
220,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
230,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
240,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
250,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
260,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
270,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
280,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
290,1507.895,632.997,5.754,420.79,647.271,652.166,1184.09 
300,1507.895,632.997,5.754,409.447,647.271,652.166,1184.09 
310,1507.895,632.997,5.754,406.08,647.271,652.166,1184.09 
320,1507.895,632.997,5.754,395.007,647.271,652.166,1184.09 
330,1507.895,632.997,5.754,395.007,647.271,652.166,1184.09 
340,1507.895,632.997,5.754,395.007,647.271,652.166,1184.09 
350,1507.895,632.997,5.705,395.007,641.121,652.166,1184.09 
360,1507.895,632.997,5.63,395.007,641.121,652.166,1184.09 
370,1230.675,632.997,5.292,395.007,641.121,652.166,1184.09 
380,1230.675,632.997,5.292,395.007,641.121,652.166,1184.09 
390,1230.675,632.997,5.292,395.007,641.121,652.166,1184.09 
400,1230.675,632.997,5.292,395.007,641.121,652.166,1184.09 
410,1230.675,632.997,5.292,395.007,641.121,652.166,1184.09 
420,1230.675,481.464,5.292,395.007,641.121,652.166,1184.09 
430,1230.675,481.464,5.292,395.007,641.121,611.893,1184.09 
440,1230.675,481.464,5.292,395.007,641.121,611.893,1184.09 
450,1230.675,481.464,5.292,395.007,641.121,611.893,1184.09 
460,1230.675,481.464,5.292,395.007,641.121,611.893,1184.09 
470,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
480,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
490,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
500,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
510,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
520,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
530,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
540,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
550,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
560,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
570,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
580,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
590,1230.675,458.253,5.292,395.007,641.121,611.893,1184.09 
