time,users_count,finish_users_count 
0,8.5,0.2 
10,10.4,2.1 
20,10.1,3.2 
30,9.8,4.2 
40,8,4.8 
50,9.2,7.9 
60,10.7,8.2 
70,8.3,8.2 
80,9,10.3 
90,10.6,8.6 
100,8.3,9.9 
110,10.5,8.2 
120,11.3,10.5 
130,10,10.1 
140,9.4,10.7 
150,9.1,8.4 
160,8.7,10.8 
170,10.9,10.4 
180,9.5,10.1 
190,10.4,10.1 
200,1.5,8.6 
210,0,8.2 
220,0,5.1 
230,0,5.2 
240,0,4.3 
250,0,3.2 
260,0,2 
270,0,0.5 
280,0,0.2 
290,20.2,0.1 
300,18.2,4.6 
310,20,8.6 
320,19.5,10.4 
330,19.6,11.4 
340,19.5,13.5 
350,18.4,16.3 
360,18.5,17.1 
370,20.1,19.7 
380,21.8,18.3 
390,19.6,18.5 
400,18.3,21.1 
410,20.3,21.7 
420,21.7,17.2 
430,21.9,18 
440,18.4,22.5 
450,17.9,20.9 
460,19.4,17.8 
470,21.3,20.5 
480,20.1,19.9 
490,2.1,22.3 
500,0,16 
510,0,10.3 
520,0,10.2 
530,0,9.9 
540,0,6.4 
550,0,1.8 
560,0,1.5 
570,17,0.3 
580,39.2,3.1 
590,41.8,13.6 
600,39.9,17.9 
610,40.3,17.3 
620,41.8,16.9 
630,38.3,19.3 
640,40.9,19.4 
650,39.1,21 
660,37.5,22.5 
670,40.6,24.4 
680,35.7,24.1 
690,37.7,22.9 
700,36.4,23.6 
710,37.7,21.5 
720,40.9,25 
730,39,23.3 
740,41,23.4 
750,37.8,18.9 
760,40.4,22.3 
770,23.1,24.2 
780,0,24.9 
790,0,30.7 
800,0,38.1 
810,0,50.2 
820,0,59.3 
830,0,47.5 
840,0,45.1 
850,0,48.4 
860,0,26.7 
870,0,8 
880,0,2.1 
890,0,0.4 
900,0,0 
910,69.9,0.6 
920,75.1,6.4 
930,76.1,9.4 
940,77.7,9.3 
950,80.2,8 
960,84.1,8 
970,70.8,7 
980,78.2,7.6 
990,76.7,7.5 
1000,72.6,7.5 
1010,78.2,13.5 
1020,77.4,20.6 
1030,83.8,32.7 
1040,70.7,50.5 
1050,79.2,66.1 
1060,85,79.8 
1070,76.7,82.5 
1080,79.2,82 
1090,78.5,77.1 
1100,75.5,77.5 
1110,9.2,73.7 
1120,0,56.4 
1130,0,52.4 
1140,0,48 
1150,0,55.9 
1160,0,59.6 
1170,0,71.5 
1180,0,71 
1190,0,70.1 
1200,0,73.9 
1210,0,79.9 
1220,0,86 
1230,0,70.3 
1240,0,25.4 
1250,0,6.2 
1260,0,1 
1270,132.1,0.1 
1280,157.2,0.2 
1290,158,0.5 
1300,153.8,0.9 
1310,154.7,1.9 
1320,163.1,7.7 
1330,150.8,27.1 
1340,156.3,72.1 
1350,150.9,121.5 
1360,152.7,137.3 
1370,149.6,134.5 
1380,147,123.5 
1390,150.4,135.4 
1400,151.7,161.8 
1410,150.9,178 
1420,149,186.8 
1430,152.1,178 
1440,153.9,155.9 
1450,150.5,162.1 
1460,159.1,146.7 
1470,17.9,134.4 
1480,0,105.7 
1490,0,88 
1500,0,62 
1510,0,52.7 
1520,0,45.9 
1530,0,50.3 
1540,0,56 
1550,0,54.3 
1560,0,52.3 
1570,0,62.2 
1580,0,82.3 
1590,0,132.1 
1600,0,98.1 
1610,0,42.4 
1620,0,8.8 
1630,0,1.4 
1640,0,0.7 
1650,0,0 
1660,0,0 
1662,0,0.1 
