time,users_count,finish_users_count 
0,85,2 
10,189,23 
20,290,55 
30,388,97 
40,468,145 
50,560,224 
60,667,306 
70,750,388 
80,840,491 
90,946,577 
100,1029,676 
110,1134,758 
120,1247,863 
130,1347,964 
140,1441,1071 
150,1532,1155 
160,1619,1263 
170,1728,1367 
180,1823,1468 
190,1927,1569 
200,1942,1655 
210,1942,1737 
220,1942,1788 
230,1942,1840 
240,1942,1883 
250,1942,1915 
260,1942,1935 
270,1942,1940 
280,1942,1942 
290,2144,1943 
300,2326,1989 
310,2526,2075 
320,2721,2179 
330,2917,2293 
340,3112,2428 
350,3296,2591 
360,3481,2762 
370,3682,2959 
380,3900,3142 
390,4096,3327 
400,4279,3538 
410,4482,3755 
420,4699,3927 
430,4918,4107 
440,5102,4332 
450,5281,4541 
460,5475,4719 
470,5688,4924 
480,5889,5123 
490,5910,5346 
500,5910,5506 
510,5910,5609 
520,5910,5711 
530,5910,5810 
540,5910,5874 
550,5910,5892 
560,5910,5907 
570,6080,5910 
580,6472,5941 
590,6890,6077 
600,7289,6256 
610,7692,6429 
620,8110,6598 
630,8493,6791 
640,8902,6985 
650,9293,7195 
660,9668,7420 
670,10074,7664 
680,10431,7905 
690,10808,8134 
700,11172,8370 
710,11549,8585 
720,11958,8835 
730,12348,9068 
740,12758,9302 
750,13136,9491 
760,13540,9714 
770,13771,9956 
780,13771,10205 
790,13771,10512 
800,13771,10893 
810,13771,11395 
820,13771,11988 
830,13771,12463 
840,13771,12914 
850,13771,13398 
860,13771,13665 
870,13771,13745 
880,13771,13766 
890,13771,13770 
900,13771,13770 
910,14470,13776 
920,15221,13840 
930,15982,13934 
940,16759,14027 
950,17561,14107 
960,18402,14187 
970,19110,14257 
980,19892,14333 
990,20659,14408 
1000,21385,14483 
1010,22167,14618 
1020,22941,14824 
1030,23779,15151 
1040,24486,15656 
1050,25278,16317 
1060,26128,17115 
1070,26895,17940 
1080,27687,18760 
1090,28472,19531 
1100,29227,20306 
1110,29319,21043 
1120,29319,21607 
1130,29319,22131 
1140,29319,22611 
1150,29319,23170 
1160,29319,23766 
1170,29319,24481 
1180,29319,25191 
1190,29319,25892 
1200,29319,26631 
1210,29319,27430 
1220,29319,28290 
1230,29319,28993 
1240,29319,29247 
1250,29319,29309 
1260,29319,29319 
1270,30640,29320 
1280,32212,29322 
1290,33792,29327 
1300,35330,29336 
1310,36877,29355 
1320,38508,29432 
1330,40016,29703 
1340,41579,30424 
1350,43088,31639 
1360,44615,33012 
1370,46111,34357 
1380,47581,35592 
1390,49085,36946 
1400,50602,38564 
1410,52111,40344 
1420,53601,42212 
1430,55122,43992 
1440,56661,45551 
1450,58166,47172 
1460,59757,48639 
1470,59936,49983 
1480,59936,51040 
1490,59936,51920 
1500,59936,52540 
1510,59936,53067 
1520,59936,53526 
1530,59936,54029 
1540,59936,54589 
1550,59936,55132 
1560,59936,55655 
1570,59936,56277 
1580,59936,57100 
1590,59936,58421 
1600,59936,59402 
1610,59936,59826 
1620,59936,59914 
1630,59936,59928 
1640,59936,59935 
1650,59936,59935 
1660,59936,59935 
1662,59936,59936 
