time,freemem@tsung_controller@ip-172-31-10-114 
0,380193.40234375 
10,380146.6640625 
20,380084.5234375 
30,380045.18359375 
40,379990.2265625 
50,379966.39453125 
60,379941.203125 
70,379929.7734375 
80,379915.85546875 
90,379901.39453125 
100,379869.96484375 
110,379861.484375 
120,379854.07421875 
130,379838.6015625 
140,379845.96484375 
150,379848.51953125 
160,379836.5625 
170,379838.39453125 
180,379830.16015625 
190,379826.83203125 
200,379825.61328125 
210,379861.1640625 
220,379961.921875 
230,380007.171875 
240,380044.26953125 
250,380067.87890625 
260,380101.8828125 
270,380115.92578125 
280,380115.7578125 
290,380116.96484375 
300,380028.49609375 
310,379914.171875 
320,379811.859375 
330,379738.40625 
340,379684.3671875 
350,379640.25 
360,379654.7109375 
370,379632.84375 
380,379632.38671875 
390,379608.07421875 
400,379590.12109375 
410,379611.16015625 
420,379612.8515625 
430,379585.484375 
440,379560.5703125 
450,379538.9765625 
460,379568.72265625 
470,379565.21484375 
480,379556.37109375 
490,379541.76171875 
500,379638.37109375 
510,379738.67578125 
520,379810.484375 
530,379900.6640625 
540,379956.91796875 
550,380024.6875 
560,380037.33203125 
570,380049.5234375 
580,379980.33984375 
590,379776.84375 
600,379588.4609375 
610,379439.70703125 
620,379307.0078125 
630,379169.9375 
640,379029.4609375 
650,378967.59375 
660,378862.55078125 
670,378765.890625 
680,378687.4453125 
690,378593.7265625 
700,378520.22265625 
710,378461.25390625 
720,378381.96875 
730,378267.30078125 
740,378177.88671875 
750,378110.76953125 
760,377978.2265625 
770,377915.9765625 
780,377832.98046875 
790,377776.61328125 
800,377814.66796875 
810,377953.12109375 
820,378155.5078125 
830,378361.51171875 
840,378570.98828125 
850,378890.90625 
860,379426.4921875 
870,379815.78515625 
880,379927.74609375 
890,379955.5703125 
900,379960.5625 
910,379962.35546875 
920,379655.265625 
930,379335.390625 
940,379024.79296875 
950,378724.14453125 
960,378397.421875 
970,378071.29296875 
980,377743.7734375 
990,377429.8046875 
1000,377136.14453125 
1010,376828.5546875 
1020,376628.76953125 
1030,376568.1875 
1040,376620.6484375 
1050,376710.19140625 
1060,376709.2109375 
1070,376672.79296875 
1080,376644.1015625 
1090,376641.78125 
1100,376591.96484375 
1110,376519.26171875 
1120,376509.9765625 
1130,376433.15234375 
1140,376339.73828125 
1150,376233.1796875 
1160,376199.0234375 
1170,376208.78515625 
1180,376307.22265625 
1190,376404.5234375 
1200,376525.28515625 
1210,376762.57421875 
1220,377265.62890625 
1230,378297.328125 
1240,379453.75390625 
1250,379810.03125 
1260,379966.6484375 
1270,379976.9140625 
1280,379505.71875 
1290,378988.09375 
1300,378420.08984375 
1310,377888.71875 
1320,377329.10546875 
1330,376992.8984375 
1340,376876.03515625 
1350,376806.6953125 
1360,376751.421875 
1370,376599.0 
1380,376477.58984375 
1390,376353.66796875 
1400,376255.0625 
1410,376150.94140625 
1420,376081.30078125 
1430,376070.99609375 
1440,376188.79296875 
1450,376257.6640625 
1460,376368.75390625 
1470,376424.33984375 
1480,376577.65625 
1490,376594.76953125 
1500,376559.19921875 
1510,376358.30859375 
1520,376218.66015625 
1530,376078.18359375 
1540,375973.2109375 
1550,375934.171875 
1560,375951.54296875 
1570,376031.22265625 
1580,376341.140625 
1590,376745.57421875 
1600,377586.375 
1610,378916.890625 
1620,379558.15234375 
1630,379737.65625 
1640,379817.80859375 
1650,379836.95703125 
1660,379842.765625 
