time,session 
0,5849.905 
10,4804.496 
20,4804.496 
30,4804.496 
40,4804.496 
50,4804.496 
60,4042.533 
70,4042.533 
80,4042.533 
90,2728.906 
100,2728.906 
110,2728.906 
120,2728.906 
130,2728.906 
140,2728.906 
150,2728.906 
160,2728.906 
170,2728.906 
180,2728.906 
190,2728.906 
200,2728.906 
210,2728.906 
220,2728.906 
230,2728.906 
240,2728.906 
250,2728.906 
260,2728.906 
270,2728.906 
280,2728.906 
290,2728.906 
300,2728.906 
310,2728.906 
320,2728.906 
330,2728.906 
340,2728.906 
350,2728.906 
360,2728.906 
370,2728.906 
380,2728.906 
390,2728.906 
400,2728.906 
410,2728.906 
420,2728.906 
430,2728.906 
440,2728.906 
450,2728.906 
460,2728.906 
470,2728.906 
480,2728.906 
490,2728.906 
500,2728.906 
510,2728.906 
520,2728.906 
530,2728.906 
540,2728.906 
550,2728.906 
560,2728.906 
570,2728.906 
580,2728.906 
590,2728.906 
600,2728.906 
610,2728.906 
620,2728.906 
630,2728.906 
640,2728.906 
650,2728.906 
660,2728.906 
670,2728.906 
680,2728.906 
690,2728.906 
700,2728.906 
710,2728.906 
720,2728.906 
730,2728.906 
740,2728.906 
750,2728.906 
760,2728.906 
770,2728.906 
780,2728.906 
790,2728.906 
800,2728.906 
810,2728.906 
820,2728.906 
830,2728.906 
840,2728.906 
850,2728.906 
860,2728.906 
870,2728.906 
880,2728.906 
890,2728.906 
900,2728.906 
910,2728.906 
920,2728.906 
930,2728.906 
940,2728.906 
950,2728.906 
960,2728.906 
970,2728.906 
980,2728.906 
990,2728.906 
1000,2728.906 
1010,2728.906 
1020,2728.906 
1030,2728.906 
1040,2728.906 
1050,2728.906 
1060,2728.906 
1070,2728.906 
1080,2728.906 
1090,2728.906 
1100,2728.906 
1110,2728.906 
1120,2728.906 
1130,2728.906 
1140,2728.906 
1150,2728.906 
1160,2728.906 
1170,2728.906 
1180,2728.906 
1190,2728.906 
1200,2728.906 
1210,2728.906 
1220,2728.906 
1230,2728.906 
1240,2728.906 
1250,2728.906 
1260,2728.906 
1270,2728.906 
1280,2728.906 
1290,2728.906 
1300,2728.906 
1310,2728.906 
1320,2728.906 
1330,2728.906 
1340,2728.906 
1350,2728.906 
1360,2728.906 
1370,2728.906 
1380,2728.906 
1390,2728.906 
1400,2728.906 
1410,2728.906 
1420,1842.342 
1430,1842.342 
1440,1842.342 
1450,1842.342 
1460,1842.342 
1470,1842.342 
1480,1842.342 
1490,1842.342 
1500,1842.342 
1510,1842.342 
1520,1842.342 
1530,1842.342 
1540,1842.342 
1550,1842.342 
1560,1842.342 
1570,1842.342 
1580,1842.342 
1590,1842.342 
1600,1842.342 
1610,1842.342 
1620,1842.342 
1630,1842.342 
1640,1842.342 
1650,1842.342 
1660,1842.342 
1670,1842.342 
1680,1842.342 
1690,1842.342 
1700,1842.342 
1710,1842.342 
1712,1842.342 
