time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
40,1.3,5,165.6,4.9,11.3,3.2,4.7 
50,2.7,4.7,200,7.8,10.6,5.6,5.5 
60,5.3,5.2,195,8.8,10.8,5.5,4.8 
70,5.6,5.6,193.5,11.2,8.5,4.9,5 
80,4.7,4.9,187.7,9.3,11.1,4.9,5 
90,5.3,5.8,193.1,11.8,9.7,4.9,4.3 
100,4.9,6.4,178.7,11.4,9.2,3.5,4 
110,4.1,5.1,167.5,10.1,8.2,4.3,3.5 
120,3.5,5.1,182,7.4,11,3.5,4.4 
130,3.6,5,184.3,9.7,9.7,4.2,4.6 
140,4.7,6.9,205.9,10.1,11.8,4.6,4 
150,4.1,5.2,196.4,9.6,10,5.2,5.6 
160,4.7,4.6,193.5,9.9,9.2,5.2,4.6 
170,5.9,3.8,199.9,9.9,9.6,4.3,4.9 
180,4.4,5.8,197.8,10,9.9,4.8,5.2 
190,4.8,5,204,8.8,10.5,5.8,5.4 
200,5.4,4.1,161.9,11,7.6,4.7,4.3 
210,4.6,1.5,115.5,6.7,4.3,5.2,5.3 
220,5.8,0.4,99.4,5.2,2.2,5.1,5 
230,4.8,0.1,61.4,5.3,0.1,3.9,1.7 
240,3.8,0,36.6,4.9,0.1,1,0.6 
250,1.3,0,12.2,2.3,0,0.3,0.1 
260,0.6,0,4.9,0.7,0,0.1,0 
270,0.1,0,1,0.4,0,0,0 
280,0.1,0.1,12.7,0.1,0.3,0,0 
290,0,1.8,92.5,1.4,6.5,0,0 
300,0,6.9,169.4,5.4,11.1,0,0.1 
310,0,10.1,219.4,9.5,15.2,0.5,1.8 
320,0.7,8.8,264.2,8.7,19.8,4,6.4 
330,3.9,9,320.6,12,18.1,7.1,8.1 
340,6.6,10,368.3,15.5,18.2,8.4,9.1 
350,7.5,9.1,379.7,15.5,19.5,9.1,9.8 
360,9,8.2,396.5,18.2,20.5,10.5,11.8 
370,11,9.1,416.2,17.8,19.7,11.9,12 
380,11.1,10.5,411.2,20.7,20.5,10.1,9 
390,9.7,11.2,398.7,22.6,19.9,9.2,9.1 
400,9.5,10.1,400.5,20.2,21.8,9.4,8.6 
410,10.4,9.8,401.8,19.8,19.4,10.2,11 
420,9.7,11,401.5,20.2,21.7,10.5,11.4 
430,10.8,10.6,403.3,21.7,20.2,10.7,9.7 
440,9.4,11.7,388.7,20.6,19.7,9.2,9.6 
450,10.8,8.6,367.7,20.5,16.8,10.1,9.2 
460,8.8,8.4,370.2,17.2,18.2,9.6,9.2 
470,9.7,10.5,374.6,18.8,19.9,8.2,8.7 
480,9.1,8.9,351.3,20.1,17.4,9.1,9.3 
490,8.5,6.8,275.9,15.9,13.6,9.3,8.5 
500,9.5,2.9,217.2,12.1,6.6,9.5,9.5 
510,8.6,1,162.8,10.9,4.4,7.7,6.7 
520,8.4,0.2,115.6,8.9,0.8,6.5,4.6 
530,7.3,0.1,68,7.3,0.2,2.8,1.1 
540,3.2,0,30,5.9,0,0.6,0.3 
550,0.8,0,7.8,1.7,0,0.3,0 
560,0.4,0,2.7,0.5,0,0.1,0 
570,0.2,0,1.9,0.4,0,0,0 
580,0,0.8,94.7,0.5,5.3,0,0 
590,0,8.8,257.6,5.2,16.6,0,0 
600,0,13.7,349.1,13.2,25.7,0,1.2 
610,0,15.5,364,10.6,26.6,1.1,4 
620,1,10.5,378.3,11.1,24.8,4.4,8.6 
630,1.5,11.5,419.8,10.3,25.7,5.9,9.8 
640,3.3,10,439.6,10,28.6,9.6,10.1 
650,6.5,12.1,436.8,12.2,26.9,6.9,10.2 
660,6.9,13,456.5,15,24.1,7.5,9.2 
670,5.4,12,446.8,13.9,24.4,9.6,9.6 
680,6,11.1,446.2,15.8,25,5.6,8.5 
690,6.1,10.7,460.2,14.4,25.1,9.4,10.2 
700,6.8,11.9,451,16.3,25.8,6.6,7.8 
710,5.8,11,456.4,13.3,28.2,7.8,10.6 
720,5.4,10.8,461.3,16,27.3,6.8,8.5 
730,5.9,13,454.4,15.1,27.8,8.5,8.3 
740,7,11.8,462.7,14.6,27.8,7.7,9 
750,6,15.2,447.2,14.8,22.9,6.2,10.2 
760,5.2,11.6,469.8,15.5,26.7,7.4,12.5 
770,6.7,13.7,465.8,17.2,31.6,8.4,11.4 
780,7.2,12.9,492.9,18.1,31.9,7.8,10 
790,6.2,13.6,489.9,18.2,28.3,9.5,9.2 
800,7.1,14.6,493.9,19.6,30.8,12.9,12 
810,7.9,17.6,505.7,23.2,39.6,11.4,13.9 
820,9.8,19.1,509.1,22.5,40.4,11.6,15.3 
830,12.3,22.4,556.8,27.2,37.2,14.3,17.3 
840,15.7,26.7,570.2,37,26.4,16.9,18.4 
850,14.9,24.6,540.7,38.8,27,21.7,19.9 
860,17.1,15.1,495.6,43.5,22.9,19.9,24 
870,18.6,4.9,507.3,44.7,12.7,21.1,27.4 
880,27.3,0.4,556,43.4,3.8,33.8,31.6 
890,35.1,0.1,618.2,38.7,0,43.6,27.3 
900,49.8,0,661.8,51.2,0,39.6,10.5 
910,53.7,0,484.1,64,0,13.3,0.7 
920,23.7,0,176.2,40.4,0,0.4,0 
930,4.2,0,31.5,10.1,0,0,0 
940,1,0,6.7,1.9,0,0,0 
950,0.1,0,1.2,0.4,0,0,0 
960,0,0.1,134.7,0,2.8,0,0 
970,0,1.7,214.2,0.1,10.5,0,0 
980,0,2.8,250.1,0.2,12.6,0,0 
990,0,4.8,288.3,1.8,15,0,0.1 
1000,0,6.1,283.8,1.7,15.4,0,0 
1010,0,5.6,320,2.1,18.2,0,0 
1020,0,5.9,353.4,3.1,18.2,0,0.3 
1030,0,9,396.1,4.7,21.4,0.1,0.5 
1040,0,15,681.2,8.2,42.8,0,2 
1050,0,23.3,982.6,15.3,73.6,0.5,4.6 
1060,0,41.6,1208.3,26.3,102.8,2.6,13.4 
1070,0.8,64.8,1435.4,41,125.7,7.2,20.7 
1080,2.3,74.1,1557.6,63.5,116.8,15.5,33.7 
1090,4.7,68.3,1558.1,73.2,108.9,21.7,43.9 
1100,13.3,59.3,1642.3,72.1,104.3,35.6,55.8 
1110,20.2,50.2,1658.1,65.5,94.5,46.4,59.6 
1120,29.7,44.2,1743.2,68,90.9,56,62.5 
1130,38.1,39.5,1761.7,74.1,80.2,57.1,57.3 
1140,52.9,40.4,1789.6,75.3,80.3,58.5,50.1 
1150,50.4,34.4,1725,85.2,76,55.7,45.8 
1160,49.8,33.6,1456.5,72.1,65.5,45.6,36.8 
1170,46.4,27.1,1126.9,61.2,56.6,35.2,28.4 
1180,33.4,24.3,838.2,49.4,40,23.3,22.4 
1190,28.6,17.4,662.3,43.8,35.7,18.7,20 
1200,25.2,18.9,637.4,44.1,29.7,18.8,18.6 
1210,27,18.7,643.5,52.7,27.2,20.6,20.2 
1220,23.5,16.9,636.5,53.5,24.7,23,20.9 
1230,24.9,14.9,606.4,56.2,22.4,22.8,25.2 
1240,24.5,13.6,596.6,54.7,20.8,24.7,23.8 
1250,26.7,4.2,582.4,50.2,13.7,31.2,26.1 
1260,37.6,1.3,678,56.9,5.2,34.9,31.6 
1270,53.3,0,869.6,67.8,0.5,53.2,31.9 
1280,68.1,0,925.3,87.2,0.2,50.3,14.2 
1290,62.9,0,490.9,72.8,0,11.1,0.7 
1300,22.2,0,158.1,36.7,0,0.8,0 
1310,3.8,0,33.4,10.4,0,0,0 
1320,0.8,0,5,1.7,0,0,0 
1330,0,0,0.5,0.3,0,0,0 
1340,0,0,137.4,0,0.1,0,0 
1350,0,0,208.7,0,3.1,0,0 
1360,0,0,253.6,0,5.8,0,0 
1370,0,0.1,408.2,0,9.8,0,0 
1380,0,4.9,1069.6,0.8,55.1,0,0 
1390,0,33.8,1755.4,10.1,128.9,0,0.1 
1400,0,100.1,2402.7,53.7,200.3,0.3,4.2 
1410,0.2,149.8,2731.9,118.4,220.1,5.2,25.5 
1420,2,132.6,2867.5,145.5,219.4,23.4,68.9 
1430,11.9,103.7,3078.8,121.7,211.4,58.1,108 
1440,34.5,86.6,3317.1,118.1,175.3,102.6,128.2 
1450,71.8,83.3,3477.6,131.5,168.7,118.9,113.6 
1460,98.8,77.3,3492.4,152.6,157.7,109.7,97.5 
1470,114.3,71,3424.5,176.3,153.1,102.9,88.3 
1480,105.3,76.7,3304.7,179.3,143.8,90.4,77.2 
1490,91.9,64.4,2985.7,162.8,141.6,76.2,74.1 
1500,86.4,72.1,3061,161.7,145.6,75.3,74.6 
1510,81.8,74.8,3018.7,162.8,146.6,74.5,70 
1520,74.3,73.3,2963,151.8,149.5,69.5,68.7 
1530,71.9,70.4,2942.9,141,141,72.9,73.3 
1540,66.5,68.6,2576.6,131.6,133.2,66.9,67.9 
1550,60,56.5,1983.7,112.4,110.5,51.7,57.5 
1560,46,40,1463.9,84,73.7,46,52.3 
1570,38.3,33.4,1072.4,68.2,55.6,37.8,40.6 
