time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
70,12944.557,24980.025,17424.93,13189.294,65705.415,10599.67,21080.123 
80,18947.315,28457.863,17424.93,20316.393,65705.415,17438.5,26242.222 
90,24285.56,39327.11,17424.93,20316.393,69474.931,17438.5,26242.222 
100,30762.759,39327.11,17424.93,20316.393,69474.931,17438.5,26242.222 
110,30762.759,39327.11,17424.93,20316.393,69474.931,17438.5,26242.222 
120,32851.077,39327.11,17424.93,20316.393,69474.931,17438.5,26242.222 
130,43835.159,39327.11,17424.93,20316.393,69474.931,21409.5,31934.841 
140,43835.159,39327.11,19822.502,22711.484,69474.931,25834.97,32131.96 
150,43835.159,45586.316,22616.482,30946.402,69474.931,36227.357,35262.527 
160,45978.221,45586.316,28473.356,34710.246,69474.931,38486.078,43984.451 
170,45978.221,45586.316,29320.749,40412.488,82370.731,48480.578,46037.715 
180,51952.916,49935.717,29320.749,42263.068,88861.798,49603.577,48144.666 
190,53867.477,50948.266,32000.136,42263.068,90943.575,50106.651,53181.212 
200,58828.024,50948.266,34664.231,42263.068,102336.938,50228.897,53181.212 
210,58828.024,57623.311,34664.231,42263.068,104678.328,50228.897,53181.212 
220,58828.024,57623.311,34664.231,42263.068,109951.14,50228.897,53181.212 
230,58828.024,57623.311,34664.231,42263.068,112573.91,50228.897,53181.212 
240,58828.024,64097.636,34664.231,42263.068,124530.029,50228.897,53181.212 
250,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,53181.212 
260,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,53181.212 
270,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,53181.212 
280,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,53181.212 
290,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,54157.888 
300,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,54157.888 
310,58828.024,64097.636,34664.231,42263.068,125379.131,50228.897,54157.888 
320,58828.024,64097.636,34664.231,42263.068,149615.345,50228.897,54157.888 
330,58828.024,64097.636,34664.231,42263.068,149615.345,50228.897,54157.888 
340,58828.024,64097.636,34664.231,42263.068,149615.345,50228.897,54157.888 
350,58828.024,64097.636,34664.231,42263.068,149615.345,50228.897,54157.888 
360,58828.024,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
370,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
380,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
390,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
400,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
410,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
420,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
430,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
440,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
450,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
460,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
470,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
480,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
490,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
500,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
510,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
520,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
530,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
540,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
550,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
560,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
570,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
580,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
590,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
600,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
610,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
620,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
630,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
640,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
650,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
660,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
670,62559.261,64097.636,34664.231,45826.842,149615.345,50228.897,54157.888 
680,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
690,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
700,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
710,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
720,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
730,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
740,62559.261,64097.636,34664.231,45826.842,149615.345,51712.048,54157.888 
750,62559.261,64097.636,34664.231,45826.842,149615.345,55713.711,54157.888 
760,62559.261,64097.636,34664.231,45826.842,149615.345,55713.711,54157.888 
770,64431.814,64097.636,34664.231,45826.842,149615.345,55713.711,54157.888 
780,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
790,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
800,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
810,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
820,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
830,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
840,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
850,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
860,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
870,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
880,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
890,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
900,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
910,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
920,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
930,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
940,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
950,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54157.888 
960,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54396.691 
970,64431.814,64097.636,34664.231,45826.842,149615.345,55909.746,54396.691 
