time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
70,6993.342125,8687.346267857143,95.9574428202923,2776.995099999999,26192.579788079474,5054.653467741935,10375.73940963856 
80,9599.244389830508,7554.420326530614,89.3376673205178,3296.8746222222226,20990.53230434784,6212.347534090909,10830.172354166663 
90,10031.515657894737,7965.549374999998,89.54143725335476,3657.0354159292033,17371.353419354848,6410.671347368427,11542.889107142857 
100,11041.30516666667,6695.549666666667,95.02935239305386,3542.1562137404594,16911.823186915884,6257.615616666667,10439.916979166666 
110,12787.662918032784,8622.248833333333,585.5660455407975,5006.879578431367,18550.899194805203,7539.514130434782,12070.774300000003 
120,16015.338718750001,15048.41519047619,2202.58990417941,8823.501499999998,23682.097736842104,10999.769666666665,16694.701933333334 
130,22299.680529411762,19711.877000000004,4177.776578734852,14117.836820512823,28806.60603448276,16549.123000000003,22659.93175 
140,26129.055125,20597.1716,5834.8276570561475,18316.27471428571,34530.16627777778,21313.567500000005,27303.033789473684 
150,31529.083200000005,32689.291749999993,7033.062769687965,23147.875299999996,42656.73890000002,27008.730166666664,31095.107909090908 
160,37097.40083333333,31895.856999999996,8657.68753502236,27478.9765,43901.83221428573,31018.36042857143,37928.45109090908 
170,42125.12775,37746.5694,9240.67565023113,30031.603692307694,54893.49216129033,39435.871181818184,38541.88279999999 
180,46717.87141666667,41673.1605,8804.481607990003,36799.854545454546,61783.03055555553,40101.940818181814,41425.656400000014 
190,45238.25721428572,39640.67973076925,6767.4718714632145,31719.627523809533,59295.75420481925,37324.05317647058,43148.31792307692 
200,38035.505875,30120.741447368415,4939.432598457894,18965.252659090907,55759.18790769231,32558.177624999993,29203.988636363636 
210,37353.175999999985,24763.992396551734,4058.790311594207,15584.80313043479,54894.008540146,29814.373826086958,23506.950451612905 
220,27226.297333333343,22249.461859813087,3699.375938126103,11797.389164556964,65152.15584426223,20399.670653846155,22458.2759 
230,23680.404400000003,22059.224133333326,3569.459326362484,12009.005605263153,69664.0834150943,19066.116923076926,20658.43866666666 
240,21106.044200000004,27353.28492307691,3408.0144468236954,13691.28973504274,74403.70115217389,17255.91173809525,21350.31187096775 
250,25076.91903846154,28374.489071428576,3303.4499289843056,13614.639590909086,78656.30998529412,18539.28663888889,21633.122082352944 
260,21204.197636363628,30000.205125,3371.4222872531413,15639.299640624997,81542.28419230768,17186.392784615393,23016.122271428576 
270,22760.504918918927,26345.839400000004,2829.0349132420083,15575.347000000002,84340.41199999998,18847.240170212764,23498.455249999995 
280,23158.73901960784,37769.0165,3004.5940211693573,16334.090716981129,97160.23860000001,19805.45608695653,27325.546813953493 
290,23866.59913333333,0,2753.4735873959526,12021.809574468083,99573.0665,22032.910312499997,30765.247880000003 
300,27910.661771428575,0,2926.1916439089673,14661.793660714286,0,20451.82670454546,27864.5072 
310,27677.130030769225,0,3615.5539402390427,16192.787632653062,0,25598.404923076923,33835.828 
320,34876.609095238106,0,4738.952449999997,17871.526630434782,149615.345,28746.816,39369.53 
330,34386.599741935475,0,5518.954321839076,23183.676842105262,0,27157.592666666664,39718.368 
340,39611.53077777777,0,7639.171440476187,26984.113181818182,0,32534.872000000003,0 
350,43597.598947368424,0,7413.495910447759,32193.918156249998,0,38024.259,0 
360,43495.855,0,6530.042983050849,32517.15742307692,0,0,0 
370,52548.104799999994,0,6214.343540229881,31529.632774193553,0,38186.68,48093.417 
380,45186.085,0,5377.802439024388,30454.469124999996,0,0,0 
390,36278.123999999996,0,5081.570440000001,31163.921833333337,0,0,0 
400,42691.3545,0,4485.587272727273,24595.991142857143,0,0,0 
410,36741.323,0,2650.4845384615382,15509.9055,0,44895.224,0 
420,0,0,1237.2484285714286,13148.391,0,0,0 
430,0,0,28.5105,0,0,0,0 
440,33393.758,0,38.756,0,0,0,0 
450,0,0,123.11774999999997,5049.709,2849.248,0,0 
460,0,3784.777538461538,123.66830050251255,1813.5635714285713,4919.189301587303,0,0 
470,0,5524.351408450704,114.505115427303,2214.1297288135593,9379.9998125,0,5297.9905 
480,0,6262.02871111111,177.44961705069144,2398.0665517241378,13983.19191558441,5368.987571428572,8988.645444444448 
490,9117.287,10329.75591891892,2057.3163133680537,8146.424857142857,19178.1997972973,9114.8312,12658.195346153845 
500,17355.605,19237.173749999998,5212.3153064312855,13572.627,27130.556475,16381.782727272726,19040.081100000003 
