time,load@tsung_controller@ip-172-31-13-99 
0,0.25 
10,0.2109375 
20,0.1796875 
30,0.1484375 
40,0.12890625 
50,0.109375 
60,0.171875 
70,0.30078125 
80,0.25 
90,0.4296875 
100,0.51953125 
110,0.44140625 
120,0.37109375 
130,0.30859375 
140,0.26171875 
150,0.21875 
160,0.421875 
170,0.359375 
180,0.5390625 
190,0.69140625 
200,0.58984375 
210,0.80078125 
220,0.75 
230,0.87109375 
240,0.8984375 
250,0.98046875 
260,0.828125 
270,1.01171875 
280,1.01953125 
290,0.859375 
300,0.87109375 
310,0.73828125 
320,0.62109375 
330,0.53125 
340,0.44921875 
350,0.37890625 
360,0.3203125 
370,0.26953125 
380,0.23046875 
390,0.19140625 
400,0.30859375 
410,0.26171875 
420,0.21875 
430,0.19140625 
440,0.16015625 
450,0.12890625 
460,0.109375 
470,0.08984375 
480,0.1484375 
490,0.12890625 
500,0.19140625 
510,0.23046875 
520,0.19921875 
530,0.171875 
540,0.140625 
550,0.19921875 
560,0.171875 
570,0.37890625 
580,0.3984375 
590,0.41015625 
600,0.421875 
610,0.6015625 
620,0.6484375 
630,0.69921875 
640,0.75 
650,0.87109375 
660,0.87890625 
670,0.91015625 
680,0.76953125 
690,0.71875 
700,0.6796875 
710,0.578125 
720,0.5703125 
730,0.48046875 
740,0.41015625 
750,0.421875 
760,0.3515625 
770,0.30078125 
780,0.25 
790,0.2890625 
800,0.23828125 
810,0.19921875 
820,0.25 
830,0.4296875 
840,0.359375 
850,0.390625 
860,0.48046875 
870,0.55859375 
880,0.62890625 
890,0.609375 
900,0.6796875 
910,0.73046875 
920,0.78125 
930,0.890625 
940,0.828125 
950,0.7890625 
960,0.73828125 
970,0.9296875 
